"Description: ","Annual coldest daily TN"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnn, normalised (all years)
2008, -0.3, 0.132098185441235
2009, -2.1, -1.65122731801544
2010, 0.2, 0.627466380845867
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, -0.4, 0.0330245463603088
2014, -99.9, -99.9
2015, 0.8, 1.22190821533142
2016, -0.2, 0.231171824522161
2017, -1.7, -1.25493276169173
2018, -0.9, -0.462343649044323
2019, -1.6, -1.15585912261081
2020, -99.9, -99.9
2021, -0.6, -0.165122731801544
2022, 1.1, 1.5191291325742
2023, 0.5, 0.924687298088646
2024, -99.9, -99.9
