"Description: ","Monthly coldest daily TN"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnn, normalised (all years)
2008-01, 13.5, 1.13744118487819
2008-02, 11.8, 0.812131134014243
2008-03, 13.7, 1.17571295556806
2008-04, 3.7, -0.737875578925734
2008-05, 0.3, -1.38849568065363
2008-06, -0.3, -1.50331099272325
2008-07, 3.4, -0.795283234960548
2008-08, 3.2, -0.833555005650424
2008-09, 2.5, -0.96750620306499
2008-10, 5.6, -0.374293757371912
2008-11, 11.6, 0.773859363324367
2008-12, 11.9, 0.831267019359181
2009-01, 12.5, 0.946082331428809
2009-02, 14.7, 1.36707180901744
2009-03, 9.5, 0.372005771080669
2009-04, 7.7, 0.0275598348717856
2009-05, 3.3, -0.814419120305486
2009-06, 0.7, -1.31195213927387
2009-07, -2.1, -1.84775692893214
2009-08, 4.1, -0.661332037545982
2009-09, 5.3, -0.431701413406726
2009-10, 7.6, 0.00842394952684756
2009-11, 13.4, 1.11830529953325
2009-12, 12.8, 1.00348998746362
2010-01, 15.4, 1.50102300643201
2010-02, 12.1, 0.869538790049057
2010-03, 11.4, 0.735587592634491
2010-04, 6, -0.29775021599216
2010-05, 6.6, -0.182934903922532
2010-06, 1.6, -1.13972917116943
2010-07, 0.2, -1.40763156599856
2010-08, 0.3, -1.38849568065363
2010-09, 7.2, -0.0681195918529043
2010-10, 5.4, -0.412565528061788
2010-11, 7.4, -0.0298478211630283
2010-12, 9.7, 0.410277541770545
2011-01, 18.7, 2.13250722281496
2011-02, 15.2, 1.46275123574213
2011-03, 12.3, 0.907810560738933
2011-04, 7, -0.10639136254278
2011-05, 4.7, -0.546516725476354
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 3.3, -0.814419120305486
2011-10, 9.3, 0.333734000390793
2011-11, 10.7, 0.601636395219925
2011-12, 10.3, 0.525092853840173
2012-01, 15.4, 1.50102300643201
2012-02, 13.3, 1.09916941418831
2012-03, 6.4, -0.221206674612408
2012-04, 6.4, -0.221206674612408
2012-05, 4.4, -0.603924381511168
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 6.8, -0.144663133232656
2012-09, 3.7, -0.737875578925734
2012-10, 11.6, 0.773859363324367
2012-11, 12.7, 0.984354102118685
2012-12, 14.3, 1.29052826763769
2013-01, 11.5, 0.754723477979429
2013-02, 10.4, 0.544228739185111
2013-03, 11.2, 0.697315821944615
2013-04, 6.8, -0.144663133232656
2013-05, 1.5, -1.15886505651437
2013-06, 4.1, -0.661332037545982
2013-07, -0.4, -1.52244687806819
2013-08, 1.9, -1.08232151513462
2013-09, 2.6, -0.948370317720052
2013-10, 8.3, 0.142375146941414
2013-11, 12.4, 0.926946446083871
2013-12, 14.9, 1.40534357970732
2014-01, 15.6, 1.53929477712189
2014-02, 15.1, 1.4436153503972
2014-03, 7.4, -0.0298478211630283
2014-04, 7.3, -0.0489837065079664
