"Description: ","Annual warmest daily TN"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnx, normalised (all years)
2008, 25.1, -0.613346513221425
2009, 24, -1.23612912664626
2010, 29.1, 1.65131753559615
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 26.7, 0.292519106305603
2014, -99.9, -99.9
2015, 26.8, 0.349135707526043
2016, 26.8, 0.349135707526043
2017, 25.6, -0.330263507119229
2018, 24.3, -1.06627932298494
2019, 25.8, -0.21703030467835
2020, -99.9, -99.9
2021, 23.6, -1.46259553152802
2022, 28.2, 1.14176812461219
2023, 28.2, 1.14176812461219
2024, -99.9, -99.9
