"Description: ","Monthly warmest daily TN"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnx, normalised (all years)
2008-01, 22.9, 0.551693934267708
2008-02, 21.9, 0.212756759291887
2008-03, 23.7, 0.822843674248365
2008-04, 18.3, -1.00741707062107
2008-05, 23, 0.585587651765291
2008-06, 14.9, -2.15980346553886
2008-07, 15.4, -1.99033487805095
2008-08, 18.3, -1.00741707062107
2008-09, 25.1, 1.29735571921451
2008-10, 18.9, -0.804054765635575
2008-11, 21.7, 0.144969324296724
2008-12, 22, 0.24665047678947
2009-01, 22.2, 0.314437911784634
2009-02, 22.9, 0.551693934267708
2009-03, 21.2, -0.0244992631911869
2009-04, 19.3, -0.668479895645246
2009-05, 17.8, -1.17688565810898
2009-06, 16.9, -1.48192911558722
2009-07, 15.3, -2.02422859554853
2009-08, 23.9, 0.890631109243529
2009-09, 18.1, -1.07520450561623
2009-10, 21.4, 0.0432881718039771
2009-11, 22.9, 0.551693934267708
2009-12, 24, 0.924524826741112
2010-01, 22.8, 0.517800216770127
2010-02, 29.1, 2.6531044191178
2010-03, 21.4, 0.0432881718039771
2010-04, 21.1, -0.0583929806887682
2010-05, 17.2, -1.38024796309447
2010-06, 15.5, -1.95644116055337
2010-07, 21.7, 0.144969324296724
2010-08, 18.2, -1.04131078811865
2010-09, 17.6, -1.24467309310414
2010-10, 17.4, -1.31246052809931
2010-11, 19.5, -0.600692460650082
2010-12, 22.2, 0.314437911784634
2011-01, 24.1, 0.958418544238694
2011-02, 23.2, 0.653375086760455
2011-03, 22, 0.24665047678947
2011-04, 19, -0.770161048137992
2011-05, 17.4, -1.31246052809931
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 18, -1.10909822311381
2011-10, 21.2, -0.0244992631911869
2011-11, 21.7, 0.144969324296724
2011-12, 20.6, -0.227861568176679
2012-01, 25.3, 1.36514315420968
2012-02, 24.9, 1.22956828421935
2012-03, 23.1, 0.619481369262873
2012-04, 19.9, -0.465117590659754
2012-05, 19.7, -0.532905025654918
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 22.1, 0.280544194287053
2012-09, 19.1, -0.73626733064041
2012-10, 20.4, -0.295649003171844
2012-11, 24.5, 1.09399341422902
2012-12, 29.9, 2.92425415909845
2013-01, 22.3, 0.348331629282217
2013-02, 23.4, 0.721162521755619
2013-03, 21.2, -0.0244992631911869
2013-04, 20.4, -0.295649003171844
2013-05, 19, -0.770161048137992
2013-06, 13.7, -2.56652807550984
2013-07, 21, -0.0922866981863508
2013-08, 18.8, -0.837948483133156
2013-09, 22.7, 0.483906499272544
2013-10, 20.2, -0.363436438167008
2013-11, 23.1, 0.619481369262873
2013-12, 26.7, 1.83965519917583
2014-01, 27.6, 2.14469865665407
2014-02, 24.1, 0.958418544238694
2014-03, 21, -0.0922866981863508
2014-04, 22.1, 0.280544194287053
2014-05, 18.3, -1.00741707062107
2014-06, 18.8, -0.837948483133156
2014-07, 18.7, -0.871842200630739
2014-08, 20.7, -0.193967850679097
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 22.3, 0.348331629282217
2015-01, 24.1, 0.958418544238694
2015-02, 22.2, 0.314437911784634
2015-03, 22.2, 0.314437911784634
2015-04, 18.9, -0.804054765635575
2015-05, 19.2, -0.702373613142828
2015-06, 18.2, -1.04131078811865
2015-07, 17.9, -1.1429919406114
2015-08, 26.8, 1.87354891667341
2015-09, 20.4, -0.295649003171844
2015-10, 22.4, 0.382225346779798
2015-11, 20.4, -0.295649003171844
2015-12, 23.6, 0.788949956750784
2016-01, 24, 0.924524826741112
2016-02, 22.9, 0.551693934267708
2016-03, 23.7, 0.822843674248365
2016-04, 26.8, 1.87354891667341
2016-05, 16.6, -1.58361026807996
2016-06, 12.7, -2.90546525048566
2016-07, 23.3, 0.687268804258037
2016-08, 19.5, -0.600692460650082
2016-09, 16.1, -1.75307885556787
2016-10, 20, -0.431223873162172
2016-11, 20.9, -0.126180415683933
2016-12, 23.4, 0.721162521755619
2017-01, 23.3, 0.687268804258037
2017-02, 22.4, 0.382225346779798
2017-03, 22.7, 0.483906499272544
2017-04, 21.1, -0.0583929806887682
2017-05, 17.9, -1.1429919406114
2017-06, 20.7, -0.193967850679097
2017-07, 21, -0.0922866981863508
2017-08, 21.5, 0.0771818893015596
2017-09, 22.7, 0.483906499272544
2017-10, 20.1, -0.397330155664589
2017-11, 22.5, 0.41611906427738
2017-12, 25.6, 1.46682430670243
2018-01, 22.8, 0.517800216770127
2018-02, 23.2, 0.653375086760455
2018-03, 21.5, 0.0771818893015596
2018-04, 22.7, 0.483906499272544
2018-05, 19.7, -0.532905025654918
2018-06, 23, 0.585587651765291
2018-07, 18.5, -0.939629635625903
2018-08, 16.9, -1.48192911558722
2018-09, 19.3, -0.668479895645246
2018-10, 20.3, -0.329542720669425
2018-11, 22.6, 0.450012781774963
2018-12, 24.3, 1.02620597923386
2019-01, 25.8, 1.53461174169759
2019-02, 25.3, 1.36514315420968
2019-03, 22.2, 0.314437911784634
2019-04, 21.5, 0.0771818893015596
2019-05, 21.4, 0.0432881718039771
2019-06, 22.4, 0.382225346779798
2019-07, 22.2, 0.314437911784634
2019-08, 19, -0.770161048137992
2019-09, 19.2, -0.702373613142828
2019-10, 24.3, 1.02620597923386
2019-11, 22.2, 0.314437911784634
2019-12, 22.9, 0.551693934267708
2020-01, 23.5, 0.755056239253201
2020-02, 22.9, 0.551693934267708
2020-03, 22.2, 0.314437911784634
2020-04, 21.8, 0.178863041794306
2020-05, 18.9, -0.804054765635575
2020-06, 22.2, 0.314437911784634
2020-07, 22.1, 0.280544194287053
2020-08, 21, -0.0922866981863508
2020-09, 17.6, -1.24467309310414
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, 23.6, 0.788949956750784
2021-02, 22.8, 0.517800216770127
2021-03, 21.7, 0.144969324296724
2021-04, 23.3, 0.687268804258037
2021-05, 20.2, -0.363436438167008
2021-06, 14.9, -2.15980346553886
2021-07, 18.5, -0.939629635625903
2021-08, 19, -0.770161048137992
2021-09, 18, -1.10909822311381
2021-10, 19.6, -0.566798743152499
2021-11, 21.4, 0.0432881718039771
2021-12, 21.7, 0.144969324296724
2022-01, 28.2, 2.34806096163956
2022-02, 23.3, 0.687268804258037
2022-03, 21.8, 0.178863041794306
2022-04, 19.4, -0.634586178147664
2022-05, 17.3, -1.34635424559689
2022-06, 14.4, -2.32927205302677
2022-07, 23.2, 0.653375086760455
2022-08, 16.2, -1.71918513807029
2022-09, 18.8, -0.837948483133156
2022-10, 20.9, -0.126180415683933
2022-11, 20.7, -0.193967850679097
2022-12, 21.6, 0.111075606799142
2023-01, 22.9, 0.551693934267708
2023-02, 25.9, 1.56850545919517
2023-03, 23.3, 0.687268804258037
2023-04, 17.7, -1.21077937560656
2023-05, 19.9, -0.465117590659754
2023-06, 21.8, 0.178863041794306
2023-07, 22.4, 0.382225346779798
2023-08, 19.8, -0.499011308157335
2023-09, 28.2, 2.34806096163956
2023-10, 19.3, -0.668479895645246
2023-11, 21.2, -0.0244992631911869
2023-12, 25.7, 1.50071802420001
2024-01, 23.2, 0.653375086760455
2024-02, 23.6, 0.788949956750784
2024-03, -99.9, -99.9
2024-04, -99.9, -99.9
2024-05, 27.7, 2.17859237415165
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
