"Description: ","Annual number of days when TN > 20 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tr, normalised (all years)
2008, 36, -1.40525960527042
2009, 48, -0.351314901317604
2010, 57, 0.439143626647005
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 47, -0.439143626647005
2014, -99.9, -99.9
2015, 59, 0.614801077305807
2016, 63, 0.966115978623412
2017, 63, 0.966115978623412
2018, 53, 0.0878287253294011
2019, 61, 0.79045852796461
2020, -99.9, -99.9
2021, 31, -1.84440323191742
2022, 41, -0.966115978623412
2023, 65, 1.14177342928221
2024, -99.9, -99.9
