"Description: ","Monthly number of days when TN > 20 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tr, normalised (all years)
2008-01, 9, 0.703593499483565
2008-02, 7, 0.372066728920246
2008-03, 4, -0.125223426924732
2008-04, 0, -0.788276968051369
2008-05, 2, -0.45675019748805
2008-06, 0, -0.788276968051369
2008-07, 0, -0.788276968051369
2008-08, 0, -0.788276968051369
2008-09, 1, -0.62251358276971
2008-10, 0, -0.788276968051369
2008-11, 5, 0.0405399583569276
2008-12, 8, 0.537830114201906
2009-01, 8, 0.537830114201906
2009-02, 8, 0.537830114201906
2009-03, 5, 0.0405399583569276
2009-04, 0, -0.788276968051369
2009-05, 0, -0.788276968051369
2009-06, 0, -0.788276968051369
2009-07, 0, -0.788276968051369
2009-08, 1, -0.62251358276971
2009-09, 0, -0.788276968051369
2009-10, 1, -0.62251358276971
2009-11, 12, 1.20088365532854
2009-12, 13, 1.3666470406102
2010-01, 18, 2.1954639670185
2010-02, 19, 2.36122735230016
2010-03, 9, 0.703593499483565
2010-04, 2, -0.45675019748805
2010-05, 0, -0.788276968051369
2010-06, 0, -0.788276968051369
2010-07, 1, -0.62251358276971
2010-08, 0, -0.788276968051369
2010-09, 0, -0.788276968051369
2010-10, 0, -0.788276968051369
2010-11, 0, -0.788276968051369
2010-12, 8, 0.537830114201906
2011-01, 26, 3.52157104927177
2011-02, 18, 2.1954639670185
2011-03, 5, 0.0405399583569276
2011-04, 0, -0.788276968051369
2011-05, 0, -0.788276968051369
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 0, -0.788276968051369
2011-10, 1, -0.62251358276971
2011-11, 3, -0.290986812206391
2011-12, 3, -0.290986812206391
2012-01, 11, 1.03512027004688
2012-02, 20, 2.52699073758182
2012-03, 8, 0.537830114201906
2012-04, 0, -0.788276968051369
2012-05, 0, -0.788276968051369
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 5, 0.0405399583569276
2012-09, 0, -0.788276968051369
2012-10, 2, -0.45675019748805
2012-11, 6, 0.206303343638587
2012-12, 13, 1.3666470406102
2013-01, 7, 0.372066728920246
2013-02, 13, 1.3666470406102
2013-03, 3, -0.290986812206391
2013-04, 2, -0.45675019748805
2013-05, 0, -0.788276968051369
2013-06, 0, -0.788276968051369
2013-07, 1, -0.62251358276971
2013-08, 0, -0.788276968051369
2013-09, 2, -0.45675019748805
2013-10, 1, -0.62251358276971
2013-11, 6, 0.206303343638587
2013-12, 12, 1.20088365532854
2014-01, 16, 1.86393719645518
2014-02, 18, 2.1954639670185
2014-03, 5, 0.0405399583569276
2014-04, 5, 0.0405399583569276
2014-05, 0, -0.788276968051369
2014-06, 0, -0.788276968051369
2014-07, 0, -0.788276968051369
2014-08, 1, -0.62251358276971
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 11, 1.03512027004688
2015-01, 20, 2.52699073758182
2015-02, 11, 1.03512027004688
2015-03, 8, 0.537830114201906
2015-04, 0, -0.788276968051369
2015-05, 0, -0.788276968051369
2015-06, 0, -0.788276968051369
2015-07, 0, -0.788276968051369
2015-08, 5, 0.0405399583569276
2015-09, 1, -0.62251358276971
2015-10, 1, -0.62251358276971
2015-11, 3, -0.290986812206391
2015-12, 10, 0.869356884765224
2016-01, 17, 2.02970058173684
2016-02, 20, 2.52699073758182
2016-03, 3, -0.290986812206391
2016-04, 13, 1.3666470406102
2016-05, 0, -0.788276968051369
2016-06, 0, -0.788276968051369
2016-07, 1, -0.62251358276971
2016-08, 0, -0.788276968051369
2016-09, 0, -0.788276968051369
2016-10, 0, -0.788276968051369
2016-11, 1, -0.62251358276971
2016-12, 8, 0.537830114201906
2017-01, 16, 1.86393719645518
2017-02, 19, 2.36122735230016
2017-03, 7, 0.372066728920246
2017-04, 2, -0.45675019748805
2017-05, 0, -0.788276968051369
2017-06, 1, -0.62251358276971
2017-07, 1, -0.62251358276971
2017-08, 1, -0.62251358276971
2017-09, 2, -0.45675019748805
2017-10, 1, -0.62251358276971
2017-11, 1, -0.62251358276971
2017-12, 12, 1.20088365532854
2018-01, 17, 2.02970058173684
2018-02, 5, 0.0405399583569276
2018-03, 6, 0.206303343638587
2018-04, 5, 0.0405399583569276
2018-05, 0, -0.788276968051369
2018-06, 1, -0.62251358276971
2018-07, 0, -0.788276968051369
2018-08, 0, -0.788276968051369
2018-09, 0, -0.788276968051369
2018-10, 1, -0.62251358276971
2018-11, 6, 0.206303343638587
2018-12, 12, 1.20088365532854
2019-01, 22, 2.85851750814514
2019-02, 9, 0.703593499483565
2019-03, 7, 0.372066728920246
2019-04, 3, -0.290986812206391
2019-05, 2, -0.45675019748805
2019-06, 3, -0.290986812206391
2019-07, 1, -0.62251358276971
2019-08, 0, -0.788276968051369
2019-09, 0, -0.788276968051369
2019-10, 2, -0.45675019748805
2019-11, 5, 0.0405399583569276
2019-12, 7, 0.372066728920246
2020-01, 15, 1.69817381117352
2020-02, 12, 1.20088365532854
2020-03, 5, 0.0405399583569276
2020-04, 3, -0.290986812206391
2020-05, 0, -0.788276968051369
2020-06, 3, -0.290986812206391
2020-07, 3, -0.290986812206391
2020-08, 1, -0.62251358276971
2020-09, 0, -0.788276968051369
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, 13, 1.3666470406102
2021-02, 4, -0.125223426924732
2021-03, 7, 0.372066728920246
2021-04, 2, -0.45675019748805
2021-05, 1, -0.62251358276971
2021-06, 0, -0.788276968051369
2021-07, 0, -0.788276968051369
2021-08, 0, -0.788276968051369
2021-09, 0, -0.788276968051369
2021-10, 0, -0.788276968051369
2021-11, 2, -0.45675019748805
2021-12, 2, -0.45675019748805
2022-01, 16, 1.86393719645518
2022-02, 10, 0.869356884765224
2022-03, 6, 0.206303343638587
2022-04, 0, -0.788276968051369
2022-05, 0, -0.788276968051369
2022-06, 0, -0.788276968051369
2022-07, 1, -0.62251358276971
2022-08, 0, -0.788276968051369
2022-09, 0, -0.788276968051369
2022-10, 1, -0.62251358276971
2022-11, 1, -0.62251358276971
2022-12, 6, 0.206303343638587
2023-01, 16, 1.86393719645518
2023-02, 7, 0.372066728920246
2023-03, 21, 2.69275412286348
2023-04, 0, -0.788276968051369
2023-05, 0, -0.788276968051369
2023-06, 2, -0.45675019748805
2023-07, 2, -0.45675019748805
2023-08, 0, -0.788276968051369
2023-09, 2, -0.45675019748805
2023-10, 0, -0.788276968051369
2023-11, 1, -0.62251358276971
2023-12, 14, 1.53241042589186
2024-01, 12, 1.20088365532854
2024-02, 17, 2.02970058173684
2024-03, -99.9, -99.9
2024-04, -99.9, -99.9
2024-05, 3, -0.290986812206391
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
