"Description: ","Number of 2 consecutive days where both TX > 95th percentile and TN > 95th percentile"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tx2tn2, normalised (all years)
2008, 0, -0.449466574975495
2009, 0, -0.449466574975495
2010, 0, -0.449466574975495
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 0, -0.449466574975495
2014, -99.9, -99.9
2015, 1, 2.02259958738973
2016, 1, 2.02259958738973
2017, 0, -0.449466574975495
2018, 0, -0.449466574975495
2019, 0, -0.449466574975495
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 0, -0.449466574975495
2023, 0, -0.449466574975495
2024, -99.9, -99.9
