"Description: ","Heatwave definitions and aspects"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, -99.9, -99.9, 0, -99.9, 0
2009, 36.5, 38.5, 1, 2, 2
2010, -99.9, -99.9, 0, -99.9, 0
2011, -99.9, -99.9, -99.9, -99.9, -99.9
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 37.3688888888889, 40, 3, 5, 13
2014, -99.9, -99.9, -99.9, -99.9, -99.9
2015, -99.9, -99.9, 0, -99.9, 0
2016, -99.9, -99.9, 0, -99.9, 0
2017, -99.9, -99.9, 0, -99.9, 0
2018, 34.55, 36.3, 2, 3, 6
2019, 35.9880952380952, 37.9, 3, 7, 14
2020, -99.9, -99.9, -99.9, -99.9, -99.9
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, 36.2625, 39, 2, 4, 8
2023, -99.9, -99.9, 0, -99.9, 0
2024, -99.9, -99.9, -99.9, -99.9, -99.9
