"Description: ","Value of 95th percentile of TX"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tx95t, normalised (all years)
NA, 36.89, 1.41983229630331
NA, 36.89, 1.41983229630331
NA, 36.86, 1.40998876816688
NA, 35.23, 0.875157072754195
NA, 35.05, 0.816095903935617
NA, 35.335, 0.909609421231701
NA, 35.9, 1.09499586780113
NA, 35.94, 1.10812057198303
NA, 36.34, 1.2393676138021
NA, 36.74, 1.37061465562116
NA, 36.96, 1.44280052862165
NA, 36.96, 1.44280052862165
NA, 36.74, 1.37061465562116
NA, 36.5, 1.29186643052972
NA, 36.24, 1.20655585334733
NA, 36.02, 1.13436998034685
NA, 35.96, 1.11468292407399
NA, 36.52, 1.29842878262068
NA, 37.08, 1.48217464116736
NA, 37.28, 1.5477981620769
NA, 37.64, 1.66592049971405
NA, 37.64, 1.66592049971405
NA, 37.24, 1.53467345789499
NA, 36.98, 1.4493628807126
NA, 36.72, 1.36405230353021
NA, 36.42, 1.26561702216591
NA, 35.84, 1.07530881152827
NA, 36.3, 1.22624290962019
NA, 36.38, 1.252492317984
NA, 36.54, 1.30499113471163
NA, 36.44, 1.27217937425686
NA, 36.98, 1.4493628807126
NA, 36.92, 1.42967582443974
NA, 37.84, 1.73154402062359
NA, 37.84, 1.73154402062359
NA, 37.94, 1.76435578107835
NA, 37.26, 1.54123580998594
NA, 38, 1.78404283735121
NA, 37.14, 1.50186169744022
NA, 37.14, 1.50186169744022
NA, 37.14, 1.50186169744022
NA, 37.32, 1.5609228662588
NA, 37.14, 1.50186169744022
NA, 36.8, 1.39030171189402
NA, 35.96, 1.11468292407399
NA, 35.42, 0.937499417618252
NA, 35.24, 0.878438248799673
NA, 34.7, 0.701254742343938
NA, 34.34, 0.583132404706781
NA, 34.12, 0.510946531706295
NA, 34.08, 0.497821827524389
NA, 34.08, 0.497821827524389
NA, 33.88, 0.432198306614858
NA, 33.84, 0.419073602432952
NA, 34.02, 0.478134771251531
NA, 34.42, 0.609381813070593
NA, 33.84, 0.419073602432952
NA, 33.9, 0.43876065870581
NA, 33.54, 0.320638321068653
NA, 32.94, 0.123767758340058
NA, 33.62, 0.346887729432466
NA, 34.06, 0.491259475433437
NA, 34.62, 0.675005333980124
NA, 36.08, 1.15405703661971
NA, 36.08, 1.15405703661971
NA, 36.28, 1.21968055752924
NA, 36.2, 1.19343114916543
NA, 36.08, 1.15405703661971
NA, 36.08, 1.15405703661971
NA, 36.28, 1.21968055752924
NA, 36.52, 1.29842878262068
NA, 36.4, 1.25905467007496
NA, 35.86, 1.08187116361922
NA, 35.18, 0.858751192526813
NA, 35.18, 0.858751192526813
NA, 35.06, 0.819377079981095
NA, 35.54, 0.97687353016397
NA, 35.54, 0.97687353016397
NA, 35.2, 0.865313544617767
NA, 34.64, 0.681567686071078
NA, 34.44, 0.615944165161545
NA, 33.28, 0.235327743886263
NA, 33.32, 0.248452448068169
NA, 33.28, 0.235327743886263
NA, 33.2, 0.209078335522451
NA, 33.61, 0.34360655338699
NA, 33.86, 0.425635954523904
NA, 33.82, 0.412511250341998
NA, 33.82, 0.412511250341998
NA, 33.69, 0.369855961750802
NA, 33.095, 0.174625987044945
NA, 33.265, 0.230405979818048
NA, 33.265, 0.230405979818048
NA, 33.82, 0.412511250341998
NA, 33.52, 0.314075968977702
NA, 33.05, 0.1598606948403
NA, 32.98, 0.136892462521964
NA, 33.76, 0.392824194069138
NA, 33.64, 0.35345008152342
NA, 34.38, 0.596257108888687
NA, 34.38, 0.596257108888687
