"Description: ","Annual number of days when TX >= 35 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txge35, normalised (all years)
2008, 6, -0.536217415186937
2009, 4, -0.736162892036303
2010, 7, -0.436244676762254
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 8, -0.33627193833757
2014, -99.9, -99.9
2015, 1, -1.03608110731035
2016, 8, -0.33627193833757
2017, 3, -0.836135630460986
2018, 9, -0.236299199912887
2019, 24, 1.26329187645736
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 30, 1.86312830700546
2023, 25, 1.36326461488204
2024, -99.9, -99.9
