"Description: ","Monthly number of days when TX >= 35 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txge35, normalised (all years)
2008-01, 2, 0.366163302096975
2008-02, 1, -0.0503474540383341
2008-03, 0, -0.466858210173643
2008-04, 0, -0.466858210173643
2008-05, 0, -0.466858210173643
2008-06, 0, -0.466858210173643
2008-07, 0, -0.466858210173643
2008-08, 0, -0.466858210173643
2008-09, 0, -0.466858210173643
2008-10, 0, -0.466858210173643
2008-11, 0, -0.466858210173643
2008-12, 3, 0.782674058232285
2009-01, 0, -0.466858210173643
2009-02, 0, -0.466858210173643
2009-03, 0, -0.466858210173643
2009-04, 0, -0.466858210173643
2009-05, 0, -0.466858210173643
2009-06, 0, -0.466858210173643
2009-07, 0, -0.466858210173643
2009-08, 0, -0.466858210173643
2009-09, 0, -0.466858210173643
2009-10, 2, 0.366163302096975
2009-11, 1, -0.0503474540383341
2009-12, 1, -0.0503474540383341
2010-01, 1, -0.0503474540383341
2010-02, 4, 1.19918481436759
2010-03, 0, -0.466858210173643
2010-04, 0, -0.466858210173643
2010-05, 0, -0.466858210173643
2010-06, 0, -0.466858210173643
2010-07, 0, -0.466858210173643
2010-08, 0, -0.466858210173643
2010-09, 0, -0.466858210173643
2010-10, 0, -0.466858210173643
2010-11, 1, -0.0503474540383341
2010-12, 1, -0.0503474540383341
2011-01, 1, -0.0503474540383341
2011-02, 0, -0.466858210173643
2011-03, 1, -0.0503474540383341
2011-04, 0, -0.466858210173643
2011-05, 0, -0.466858210173643
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 1, -0.0503474540383341
2011-10, 0, -0.466858210173643
2011-11, 3, 0.782674058232285
2011-12, 2, 0.366163302096975
2012-01, 10, 3.69824935117945
2012-02, 8, 2.86522783890883
2012-03, 6, 2.03220632663821
2012-04, 0, -0.466858210173643
2012-05, 0, -0.466858210173643
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 0, -0.466858210173643
2012-09, 0, -0.466858210173643
2012-10, 0, -0.466858210173643
2012-11, 2, 0.366163302096975
2012-12, 4, 1.19918481436759
2013-01, 2, 0.366163302096975
2013-02, 1, -0.0503474540383341
2013-03, 0, -0.466858210173643
2013-04, 0, -0.466858210173643
2013-05, 0, -0.466858210173643
2013-06, 0, -0.466858210173643
2013-07, 0, -0.466858210173643
2013-08, 0, -0.466858210173643
2013-09, 0, -0.466858210173643
2013-10, 0, -0.466858210173643
2013-11, 0, -0.466858210173643
2013-12, 5, 1.6156955705029
2014-01, 10, 3.69824935117945
2014-02, 9, 3.28173859504414
2014-03, 0, -0.466858210173643
2014-04, 0, -0.466858210173643
2014-05, 0, -0.466858210173643
2014-06, 0, -0.466858210173643
2014-07, 0, -0.466858210173643
2014-08, 0, -0.466858210173643
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 2, 0.366163302096975
2015-01, 1, -0.0503474540383341
2015-02, 0, -0.466858210173643
2015-03, 0, -0.466858210173643
2015-04, 0, -0.466858210173643
2015-05, 0, -0.466858210173643
2015-06, 0, -0.466858210173643
2015-07, 0, -0.466858210173643
2015-08, 0, -0.466858210173643
2015-09, 0, -0.466858210173643
2015-10, 0, -0.466858210173643
2015-11, 0, -0.466858210173643
2015-12, 0, -0.466858210173643
2016-01, 3, 0.782674058232285
2016-02, 1, -0.0503474540383341
2016-03, 0, -0.466858210173643
2016-04, 3, 0.782674058232285
2016-05, 0, -0.466858210173643
2016-06, 0, -0.466858210173643
2016-07, 0, -0.466858210173643
2016-08, 0, -0.466858210173643
2016-09, 0, -0.466858210173643
2016-10, 0, -0.466858210173643
2016-11, 0, -0.466858210173643
2016-12, 1, -0.0503474540383341
2017-01, 0, -0.466858210173643
2017-02, 0, -0.466858210173643
2017-03, 0, -0.466858210173643
2017-04, 0, -0.466858210173643
2017-05, 0, -0.466858210173643
2017-06, 0, -0.466858210173643
2017-07, 0, -0.466858210173643
2017-08, 0, -0.466858210173643
2017-09, 0, -0.466858210173643
2017-10, 0, -0.466858210173643
2017-11, 1, -0.0503474540383341
2017-12, 2, 0.366163302096975
2018-01, 1, -0.0503474540383341
2018-02, 0, -0.466858210173643
2018-03, 1, -0.0503474540383341
2018-04, 2, 0.366163302096975
2018-05, 0, -0.466858210173643
2018-06, 0, -0.466858210173643
2018-07, 0, -0.466858210173643
2018-08, 0, -0.466858210173643
2018-09, 0, -0.466858210173643
2018-10, 1, -0.0503474540383341
2018-11, 1, -0.0503474540383341
2018-12, 3, 0.782674058232285
2019-01, 6, 2.03220632663821
2019-02, 2, 0.366163302096975
2019-03, 1, -0.0503474540383341
2019-04, 0, -0.466858210173643
2019-05, 0, -0.466858210173643
2019-06, 0, -0.466858210173643
2019-07, 0, -0.466858210173643
2019-08, 0, -0.466858210173643
2019-09, 1, -0.0503474540383341
2019-10, 4, 1.19918481436759
2019-11, 1, -0.0503474540383341
2019-12, 9, 3.28173859504414
2020-01, 2, 0.366163302096975
2020-02, 0, -0.466858210173643
2020-03, 5, 1.6156955705029
2020-04, 0, -0.466858210173643
2020-05, 0, -0.466858210173643
2020-06, 0, -0.466858210173643
2020-07, 0, -0.466858210173643
2020-08, 0, -0.466858210173643
2020-09, -99.9, -99.9
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 0, -0.466858210173643
2021-03, 1, -0.0503474540383341
2021-04, 0, -0.466858210173643
2021-05, 0, -0.466858210173643
2021-06, 0, -0.466858210173643
2021-07, 0, -0.466858210173643
