"Description: ","Monthly coldest daily TX"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txn, normalised (all years)
2008-01, 23.6, 1.03640096468853
2008-02, 25.1, 1.32534853756432
2008-03, 24.1, 1.13271682231379
2008-04, 16.5, -0.331284213590186
2008-05, 10.6, -1.46781133356827
2008-06, 10.2, -1.54486401966848
2008-07, 13.8, -0.851389844766598
2008-08, 14, -0.812863501716494
2008-09, 9.7, -1.64117987729374
2008-10, 17, -0.234968355964924
2008-11, 22.3, 0.78597973486285
2008-12, 23, 0.920821935538216
2009-01, 19.4, 0.227347760636332
2009-02, 20.8, 0.497032161987065
2009-03, 24.8, 1.26755902298916
2009-04, 20.1, 0.362189961311699
2009-05, 14.5, -0.716547644091232
2009-06, 12, -1.19812693221754
2009-07, 9, -1.77602207796911
2009-08, 12.4, -1.12107424611733
2009-09, 13.5, -0.909179359341755
2009-10, 17, -0.234968355964924
2009-11, 21.3, 0.593348019612327
2009-12, 22.5, 0.824506077912954
2010-01, 23.6, 1.03640096468853
2010-02, 24, 1.11345365078874
2010-03, 23.8, 1.07492730773863
2010-04, 19.6, 0.265874103686437
2010-05, 14.7, -0.678021301041128
2010-06, 14.8, -0.658758129516075
2010-07, 11.2, -1.35223230441796
2010-08, 10.8, -1.42928499051817
2010-09, 15.9, -0.446863242740499
2010-10, 18.2, -0.00381029766429605
2010-11, 20.5, 0.439242647411908
2010-12, 22.7, 0.863032420963059
2011-01, 27.9, 1.86471734026578
2011-02, 22.5, 0.824506077912954
2011-03, 20.7, 0.477768990462012
2011-04, 19.8, 0.304400446736542
2011-05, 15.8, -0.466126414265552
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 16.4, -0.350547385115238
2011-10, 18.8, 0.111768731486018
2011-11, 23.3, 0.978611450113373
2011-12, 22.6, 0.843769249438007
2012-01, 24.2, 1.15197999383884
2012-02, 26.5, 1.59503293891505
2012-03, 20.6, 0.45850581893696
2012-04, 14, -0.812863501716494
2012-05, 18.1, -0.023073469189348
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 12.8, -1.04402156001712
2012-09, 15.9, -0.446863242740499
2012-10, 18.9, 0.13103190301107
2012-11, 23.9, 1.09419047926369
2012-12, 19.1, 0.169558246061175
2013-01, 24.2, 1.15197999383884
2013-02, 25.3, 1.36387488061442
2013-03, 19.3, 0.20808458911128
2013-04, 20.2, 0.381453132836751
2013-05, 13.2, -0.966968873916913
2013-06, 13.4, -0.928442530866808
2013-07, 9.3, -1.71823256339395
2013-08, 8.1, -1.94939062169458
2013-09, 11.6, -1.27517961831775
2013-10, 20.7, 0.477768990462012
2013-11, 22.6, 0.843769249438007
2013-12, 25.8, 1.46019073823968
2014-01, 23.5, 1.01713779316348
2014-02, 21.8, 0.689663877237588
2014-03, 20.5, 0.439242647411908
2014-04, 19.3, 0.20808458911128
2014-05, 11.8, -1.23665327526764
2014-06, 10.3, -1.52560084814343
2014-07, 13.4, -0.928442530866808
2014-08, 13.8, -0.851389844766598
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 23.5, 1.01713779316348
2015-01, 25.6, 1.42166439518958
2015-02, 24.6, 1.22903267993905
2015-03, 22.4, 0.805242906387902
2015-04, 22, 0.728190220287693
2015-05, 17.2, -0.196442012914819
2015-06, 10.9, -1.41002181899312
2015-07, 13.2, -0.966968873916913
2015-08, 16.8, -0.273494699015028
2015-09, 16.1, -0.408336899690395
2015-10, 16.5, -0.331284213590186
2015-11, 18.4, 0.0347160453858085
2015-12, 22.3, 0.78597973486285
2016-01, 23.3, 0.978611450113373
2016-02, 23.1, 0.940085107063269
2016-03, 20.7, 0.477768990462012
2016-04, 14.6, -0.69728447256618
2016-05, 12.8, -1.04402156001712
2016-06, 12.2, -1.15960058916744
2016-07, 11.4, -1.31370596136785
2016-08, 14.4, -0.735810815616284
2016-09, 13.1, -0.986232045441965
2016-10, 19, 0.150295074536123
2016-11, 19.2, 0.188821417586227
2016-12, 23, 0.920821935538216
2017-01, 25.2, 1.34461170908937
2017-02, 23.8, 1.07492730773863
2017-03, 21.5, 0.631874362662431
2017-04, 17.8, -0.0808629837645051
2017-05, 15.6, -0.504652757315657
2017-06, 12.6, -1.08254790306723
2017-07, 9.5, -1.67970622034385
2017-08, 15, -0.620231786465971
2017-09, 15.2, -0.581705443415866
2017-10, 17.7, -0.100126155289558
2017-11, 23.8, 1.07492730773863
2017-12, 24.3, 1.1712431653639
2018-01, 27, 1.69134879654031
2018-02, 25.8, 1.46019073823968
2018-03, 21.8, 0.689663877237588
2018-04, 19.5, 0.246610932161384
2018-05, 14.3, -0.755073987141337
2018-06, 10.8, -1.42928499051817
2018-07, 10.6, -1.46781133356827
2018-08, 10.9, -1.41002181899312
2018-09, 16.1, -0.408336899690395
2018-10, 19.1, 0.169558246061175
2018-11, 23.8, 1.07492730773863
2018-12, 22, 0.728190220287693
2019-01, 24.2, 1.15197999383884
2019-02, 23.4, 0.997874621638425
2019-03, 22, 0.728190220287693
2019-04, 21.4, 0.612611191137378
2019-05, 15.6, -0.504652757315657
2019-06, 12.8, -1.04402156001712
2019-07, 10.4, -1.50633767661838
2019-08, 12.7, -1.06328473154217
2019-09, 14.5, -0.716547644091232
2019-10, 18.4, 0.0347160453858085
2019-11, 20.3, 0.400716304361803
2019-12, 24.8, 1.26755902298916
2020-01, 24.8, 1.26755902298916
2020-02, 23, 0.920821935538216
2020-03, 23.6, 1.03640096468853
2020-04, 21.5, 0.631874362662431
2020-05, 15.6, -0.504652757315657
2020-06, 11.4, -1.31370596136785
2020-07, 9.4, -1.6989693918689
2020-08, 10, -1.58339036271859
2020-09, -99.9, -99.9
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 25, 1.30608536603926
2021-03, 23.5, 1.01713779316348
2021-04, 21.6, 0.651137534187484
2021-05, 14.8, -0.658758129516075
2021-06, 8.2, -1.93012745016953
2021-07, 10.6, -1.46781133356827
2021-08, 11.5, -1.2944427898428
2021-09, 14.6, -0.69728447256618
2021-10, 19.4, 0.227347760636332
2021-11, 19.2, 0.188821417586227
2021-12, 26.3, 1.55650659586494
2022-01, 24.5, 1.209769508414
2022-02, 25.4, 1.38313805213947
2022-03, 19.6, 0.265874103686437
2022-04, 18.7, 0.0925055599609656
2022-05, 11.9, -1.21739010374259
2022-06, 12.9, -1.02475838849207
2022-07, 12, -1.19812693221754
2022-08, 13.1, -0.986232045441965
2022-09, 14.9, -0.639494957991023
2022-10, 16.2, -0.389073728165343
2022-11, 18.2, -0.00381029766429605
2022-12, 25.9, 1.47945390976473
2023-01, 28, 1.88398051179083
2023-02, 22.1, 0.747453391812745
2023-03, 26.3, 1.55650659586494
2023-04, 20.2, 0.381453132836751
2023-05, 17, -0.234968355964924
2023-06, 9.6, -1.6604430488188
2023-07, 12.1, -1.17886376069249
2023-08, 14.1, -0.793600330191441
2023-09, 13.8, -0.851389844766598
2023-10, 16.6, -0.312021042065133
2023-11, 19.7, 0.285137275211489
2023-12, 20.7, 0.477768990462012
2024-01, 25.7, 1.44092756671463
2024-02, 24.9, 1.28682219451421
2024-03, -99.9, -99.9
2024-04, -99.9, -99.9
2024-05, 10.5, -1.48707450509333
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
