"Description: ","Annual warmest daily TX"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txx, normalised (all years)
2008, 38, -0.206596048964041
2009, 38.5, 0.24791525875685
2010, 37.9, -0.29749831050822
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 38.8, 0.520622043389382
2014, -99.9, -99.9
2015, 36.2, -1.84283675675924
2016, 36.6, -1.47922771058253
2017, 38.6, 0.338817520301029
2018, 38.6, 0.338817520301029
2019, 38.1, -0.115693787419861
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 40.2, 1.79325370500788
2023, 39, 0.70242656647774
2024, -99.9, -99.9
