"Description: ","Monthly warmest daily TX"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txx, normalised (all years)
2008-01, 37.2, 1.10500448899897
2008-02, 35.1, 0.522155033167607
2008-03, 34.1, 0.244607673247909
2008-04, 33.2, -0.00518495067981801
2008-05, 32.6, -0.171713366631637
2008-06, 23.9, -2.58637539793301
2008-07, 29.2, -1.11537439035861
2008-08, 29.7, -0.97660071039876
2008-09, 31.4, -0.504770198535274
2008-10, 33.6, 0.105833993288061
2008-11, 34.7, 0.411136089199728
2008-12, 38, 1.32704237693473
2009-01, 34.4, 0.327871881223818
2009-02, 34.6, 0.383381353207758
2009-03, 34.3, 0.300117145231848
2009-04, 33.3, 0.0225697853121502
2009-05, 32, -0.338241782583456
2009-06, 27.1, -1.69822384618997
2009-07, 27, -1.72597858218194
2009-08, 32.9, -0.0884491586557284
2009-09, 28.8, -1.22639333432649
2009-10, 37.3, 1.13275922499094
2009-11, 38.5, 1.46581605689458
2009-12, 35.8, 0.716438185111394
2010-01, 35.1, 0.522155033167607
2010-02, 37.9, 1.29928764094276
2010-03, 34, 0.216852937255939
2010-04, 33.9, 0.189098201263969
2010-05, 26.5, -1.86475226214179
2010-06, 27.9, -1.47618595825422
2010-07, 29.7, -0.97660071039876
2010-08, 31.4, -0.504770198535274
2010-09, 28.2, -1.39292175027831
2010-10, 28.2, -1.39292175027831
2010-11, 36.3, 0.855211865071242
2010-12, 35.6, 0.660928713127455
2011-01, 36.2, 0.827457129079274
2011-02, 33.6, 0.105833993288061
2011-03, 35.6, 0.660928713127455
2011-04, 31.7, -0.421505990559365
2011-05, 25.8, -2.05903541408558
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 35.7, 0.688683449119425
2011-10, 34.2, 0.272362409239879
2011-11, 36, 0.771947657095334
2011-12, 38.7, 1.52132552887852
2012-01, 37.7, 1.24377816895882
2012-02, 38.3, 1.41030658491064
2012-03, 37.2, 1.10500448899897
2012-04, 34.9, 0.466645561183666
2012-05, 30.3, -0.810072294446941
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 31.7, -0.421505990559365
2012-09, 33.3, 0.0225697853121502
2012-10, 32.2, -0.282732310599515
2012-11, 35.4, 0.605419241143515
2012-12, 37.7, 1.24377816895882
2013-01, 36.3, 0.855211865071242
2013-02, 38.6, 1.49357079288655
2013-03, 32.1, -0.310487046591486
2013-04, 30.9, -0.643543878495123
2013-05, 31, -0.615789142503153
2013-06, 24.6, -2.39209224598922
2013-07, 28.5, -1.3096575423024
2013-08, 31.2, -0.560279670519214
2013-09, 34.5, 0.355626617215788
2013-10, 34.2, 0.272362409239879
2013-11, 34.7, 0.411136089199728
2013-12, 38.8, 1.54908026487049
2014-01, 37.4, 1.16051396098291
2014-02, 40, 1.88213709677412
2014-03, 34.7, 0.411136089199728
2014-04, 34, 0.216852937255939
2014-05, 26.2, -1.9480164701177
2014-06, 28.3, -1.36516701428634
2014-07, 29.8, -0.94884597440679
2014-08, 32.9, -0.0884491586557284
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 35.7, 0.688683449119425
2015-01, 36.2, 0.827457129079274
2015-02, 32.2, -0.282732310599515
2015-03, 33.9, 0.189098201263969
2015-04, 31.4, -0.504770198535274
2015-05, 29.2, -1.11537439035861
2015-06, 30.5, -0.754562822463002
2015-07, 30.1, -0.86558176643088
2015-08, 32.9, -0.0884491586557284
2015-09, 29.5, -1.0321101823827
2015-10, 32.7, -0.143958630639667
