"Description: ","Annual number of days with at least 1 consecutive days when TX > 90th percentile"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, wsdi1, normalised (all years)
2008, -99.9, -99.9
2009, -99.9, -99.9
2010, -99.9, -99.9
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 25, -0.509713392281113
2014, -99.9, -99.9
2015, 25, -0.509713392281113
2016, 20, -0.891998436491948
2017, 26, -0.433256383438946
2018, -99.9, -99.9
2019, -99.9, -99.9
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 39, 0.560684731509224
2023, 55, 1.78399687298389
2024, -99.9, -99.9
