"Description: ","Outliers shown in *boxes.png. IQR thresholds of 5 and 3 were used for precipitation and temperature variables, respectively."
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
Date,Prec,TX,TN,DTR
"Prec up"
2012-3-1,121.2,26.6,19.6,7
2014-3-17,96.6,29.1,19.4,9.7
2017-3-12,105.4,24.4,19.2,5.2
2010-4-20,71.6,24.7,18.8,5.9
2011-4-14,63.2,25.2,19,6.2
2013-4-5,76.6,25.3,17.7,7.6
2013-4-12,82.6,23.4,18.6,4.8
2018-4-22,96.8,31.7,16.5,15.2
2019-4-5,104,23.4,16.7,6.7
2022-4-4,85.4,22.9,16.7,6.2
2024-4-7,74,21.2,16.4,4.8
2024-4-16,67.6,25.2,20.6,4.6
2024-4-30,124.8,21.8,17.2,4.6
2008-5-29,74.8,16.4,8.3,8.1
2012-5-30,130.6,23.2,16.5,6.7
2014-5-4,45.2,25.5,12.5,13
2014-5-22,42,17.4,14,3.4
2014-5-31,48.8,18.8,13,5.8
2015-5-27,56.8,17.2,16,1.2
2017-5-13,56,17.3,14.7,2.6
2017-5-27,72.6,16.3,13.8,2.5
2019-5-4,44.4,31.3,21.3,10
2020-5-12,40.4,19.9,17.4,2.5
2020-5-13,42.2,19.3,15.1,4.2
2020-5-22,74,19.1,16.7,2.4
2021-5-22,47,18.7,12.3,6.4
2021-5-29,80.8,21.1,13.8,7.3
2023-5-6,45.2,23.9,19.1,4.8
2023-5-27,48,20.5,18.1,2.4
2024-5-1,204.4,21.4,19,2.4
2024-5-2,118.4,20.7,18.9,1.8
2024-5-12,66.4,17.8,16.2,1.6
2024-5-24,53.2,17.2,15.3,1.9
2008-6-9,44,17.9,13.6,4.3
2008-6-27,64.6,16.3,13.5,2.8
2010-6-17,40.6,17.2,15,2.2
2010-6-26,43.8,18.2,11.9,6.3
2014-6-29,128.4,15.1,13.3,1.8
2015-6-11,45.2,18.7,14.7,4
2015-6-18,40.6,14.4,10,4.4
2017-6-8,75.4,17.8,13.1,4.7
2018-6-29,44.2,19.2,12.4,6.8
2020-6-30,75,15.5,8.4,7.1
2021-6-24,61,21.8,12.6,9.2
2021-6-27,53.6,14.8,10.4,4.4
2022-6-6,43,19.1,14.1,5
2010-7-12,61.6,19.8,12.7,7.1
2014-7-23,83.4,20.8,16.4,4.4
2014-7-24,55.4,15.2,10,5.2
2015-7-20,108.8,18.3,16.8,1.5
2023-7-8,63.2,19.2,14.1,5.1
2023-7-13,69.2,16,11.1,4.9
2009-8-9,46,13.6,10.7,2.9
2009-8-10,63.8,15.7,9.4,6.3
2010-8-28,47.8,24.2,15.7,8.5
2013-8-25,57.2,9.6,6.6,3
2017-8-13,124.4,17,14.7,2.3
2021-8-25,46.6,16.3,13.8,2.5
2021-8-26,56,18.7,10.6,8.1
2015-10-8,182.4,21.3,18.2,3.1
"TX up"
"TX low"
"TN up"
"TN low"
"DTR up"
"DTR low"
