"Description: ","TN > 0"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, TNgt0, normalised (all years)
2008, 362, 0
2009, 359, -1.24807544150677
2010, 365, 1.24807544150677
2011, 358, -1.66410058867569
2012, -99.9, -99.9
2013, 362, 0
2014, -99.9, -99.9
2015, 365, 1.24807544150677
2016, -99.9, -99.9
2017, 364, 0.832050294337844
2018, 363, 0.416025147168922
2019, 362, 0
2020, 360, -0.832050294337844
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
