"Description: ","TN > 0"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, TNgt0, normalised (all years)
2008-01, 31, 0.734524435715243
2008-02, 29, -0.957671099729999
2008-03, 31, 0.734524435715243
2008-04, 30, -0.111573332007378
2008-05, 30, -0.111573332007378
2008-06, 27, -2.64986663517524
2008-07, 31, 0.734524435715243
2008-08, 31, 0.734524435715243
2008-09, 30, -0.111573332007378
2008-10, 31, 0.734524435715243
2008-11, 30, -0.111573332007378
2008-12, 31, 0.734524435715243
2009-01, 31, 0.734524435715243
2009-02, 28, -1.80376886745262
2009-03, 31, 0.734524435715243
2009-04, 30, -0.111573332007378
2009-05, 31, 0.734524435715243
2009-06, 29, -0.957671099729999
2009-07, 27, -2.64986663517524
2009-08, 31, 0.734524435715243
2009-09, 30, -0.111573332007378
2009-10, 30, -0.111573332007378
2009-11, 30, -0.111573332007378
2009-12, 31, 0.734524435715243
2010-01, 31, 0.734524435715243
2010-02, 28, -1.80376886745262
2010-03, 31, 0.734524435715243
2010-04, 30, -0.111573332007378
2010-05, 31, 0.734524435715243
2010-06, 30, -0.111573332007378
2010-07, 31, 0.734524435715243
2010-08, 31, 0.734524435715243
2010-09, 30, -0.111573332007378
2010-10, 31, 0.734524435715243
2010-11, 30, -0.111573332007378
2010-12, 31, 0.734524435715243
2011-01, 31, 0.734524435715243
2011-02, 28, -1.80376886745262
2011-03, 31, 0.734524435715243
2011-04, 30, -0.111573332007378
2011-05, 31, 0.734524435715243
2011-06, 29, -0.957671099729999
2011-07, 25, -4.34206217062048
2011-08, 31, 0.734524435715243
2011-09, 30, -0.111573332007378
2011-10, 31, 0.734524435715243
2011-11, 30, -0.111573332007378
2011-12, 31, 0.734524435715243
2012-01, 31, 0.734524435715243
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 30, -0.111573332007378
2012-05, 31, 0.734524435715243
2012-06, 26, -3.49596440289786
2012-07, 29, -0.957671099729999
2012-08, 31, 0.734524435715243
2012-09, 30, -0.111573332007378
2012-10, 31, 0.734524435715243
2012-11, 30, -0.111573332007378
2012-12, 31, 0.734524435715243
2013-01, 31, 0.734524435715243
2013-02, 28, -1.80376886745262
2013-03, 30, -0.111573332007378
2013-04, 30, -0.111573332007378
2013-05, 31, 0.734524435715243
2013-06, 30, -0.111573332007378
2013-07, 29, -0.957671099729999
2013-08, 31, 0.734524435715243
2013-09, 30, -0.111573332007378
2013-10, 31, 0.734524435715243
2013-11, 30, -0.111573332007378
2013-12, 31, 0.734524435715243
2014-01, 31, 0.734524435715243
2014-02, 28, -1.80376886745262
2014-03, 31, 0.734524435715243
2014-04, 30, -0.111573332007378
2014-05, 31, 0.734524435715243
2014-06, 30, -0.111573332007378
2014-07, -99.9, -99.9
2014-08, 31, 0.734524435715243
2014-09, 30, -0.111573332007378
2014-10, 31, 0.734524435715243
2014-11, 30, -0.111573332007378
2014-12, 31, 0.734524435715243
2015-01, 31, 0.734524435715243
2015-02, 28, -1.80376886745262
2015-03, 31, 0.734524435715243
2015-04, 30, -0.111573332007378
2015-05, 31, 0.734524435715243
2015-06, 30, -0.111573332007378
2015-07, 31, 0.734524435715243
2015-08, 31, 0.734524435715243
2015-09, 30, -0.111573332007378
2015-10, 31, 0.734524435715243
2015-11, 30, -0.111573332007378
2015-12, 31, 0.734524435715243
2016-01, 31, 0.734524435715243
2016-02, 29, -0.957671099729999
2016-03, 31, 0.734524435715243
2016-04, 30, -0.111573332007378
2016-05, 31, 0.734524435715243
2016-06, 28, -1.80376886745262
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 30, -0.111573332007378
2016-12, 31, 0.734524435715243
2017-01, 31, 0.734524435715243
