"Description: ","Maximum annual number of consecutive dry days (when precipitation < 1.0 mm)"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, cdd, normalised (all years)
2008, 17, -0.746816044814939
2009, 18, -0.466760028009337
2010, 24, 1.21357607282427
2011, 19, -0.186704011203735
2012, -99.9, -99.9
2013, 20, 0.093352005601867
2014, -99.9, -99.9
2015, 14, -1.58698409523174
2016, -99.9, -99.9
2017, 20, 0.093352005601867
2018, -99.9, -99.9
2019, 19, -0.186704011203735
2020, 26, 1.77368810643548
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
