"Description: ","Annual number of days with at least 1 consecutive days when TN < 10th percentile"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, csdi1, normalised (all years)
2008, -99.9, -99.9
2009, -99.9, -99.9
2010, 32, -0.08290076803496
2011, 35, 0.265282457711871
2012, -99.9, -99.9
2013, -99.9, -99.9
2014, -99.9, -99.9
2015, 17, -1.82381689676912
2016, -99.9, -99.9
2017, 27, -0.663206144279679
2018, 35, 0.265282457711871
2019, 42, 1.07770998445448
2020, 41, 0.961648909205534
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
