"Description: ","Maximum annual number of consecutive wet days (when precipitation >= 1.0 mm)"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, cwd, normalised (all years)
2008, 5, -0.368105086916155
2009, 4, -1.03069424336523
2010, 8, 1.61966238243108
2011, 6, 0.294484069532924
2012, -99.9, -99.9
2013, 3, -1.69328339981431
2014, -99.9, -99.9
2015, 6, 0.294484069532924
2016, -99.9, -99.9
2017, 6, 0.294484069532924
2018, -99.9, -99.9
2019, 7, 0.957073225982004
2020, 5, -0.368105086916155
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
