"Description: ","Heatwave definitions and aspects"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, CWM, CWA, CWN, CWD, CWF
2008, -12.207517037037, -25.8288888888889, 3, 5, 11
2009, -6.77304614197531, -34.1345555555556, 4, 9, 18
2010, -10.8015812962963, -28.6677, 3, 5, 13
2011, -14.551515625, -39.4497388888889, 2, 8, 12
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, -9.68307500000001, -31.0874055555556, 3, 7, 17
2014, -99.9, -99.9, -99.9, -99.9, -99.9
2015, -3.83937777777778, -5.84077222222224, 1, 3, 3
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -12.9543925925926, -24.0099555555555, 1, 3, 3
2018, -20.8523888888889, -31.5078833333333, 1, 6, 6
2019, -34.2950952380953, -58.6086222222222, 1, 7, 7
2020, -9.44229143518519, -27.4781222222222, 4, 4, 14
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, -99.9, -99.9, -99.9, -99.9, -99.9
2023, -99.9, -99.9, -99.9, -99.9, -99.9
2024, -99.9, -99.9, -99.9, -99.9, -99.9
