"Description: ","Heatwave definitions and aspects"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, 3.04658402777774, 4.35854999999998, 1, 4, 4
2009, 15.1422935185185, 35.2694666666667, 2, 3, 6
2010, 3.12266851851852, 4.5085, 1, 3, 3
2011, 4.08099444444444, 5.95820555555554, 1, 3, 3
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 2.99547482142857, 7.29866666666668, 3, 8, 20
2014, -99.9, -99.9, -99.9, -99.9, -99.9
2015, -99.9, -99.9, 0, -99.9, 0
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 11.008337037037, 15.1024166666666, 1, 3, 3
2019, 7.01517370370371, 21.6212833333333, 3, 6, 15
2020, -99.9, -99.9, 0, -99.9, 0
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, -99.9, -99.9, -99.9, -99.9, -99.9
2023, -99.9, -99.9, -99.9, -99.9, -99.9
2024, -99.9, -99.9, -99.9, -99.9, -99.9
