"Description: ","Monthly number of days when TN < 0 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, fd, normalised (all years)
2008-01, 0, -0.252188466759342
2008-02, 0, -0.252188466759342
2008-03, 0, -0.252188466759342
2008-04, 0, -0.252188466759342
2008-05, 0, -0.252188466759342
2008-06, 3, 3.37136160825646
2008-07, 0, -0.252188466759342
2008-08, 0, -0.252188466759342
2008-09, 0, -0.252188466759342
2008-10, 0, -0.252188466759342
2008-11, 0, -0.252188466759342
2008-12, 0, -0.252188466759342
2009-01, 0, -0.252188466759342
2009-02, 0, -0.252188466759342
2009-03, 0, -0.252188466759342
2009-04, 0, -0.252188466759342
2009-05, 0, -0.252188466759342
2009-06, 1, 0.955661558245926
2009-07, 4, 4.57921163326173
2009-08, 0, -0.252188466759342
2009-09, 0, -0.252188466759342
2009-10, 0, -0.252188466759342
2009-11, 0, -0.252188466759342
2009-12, 0, -0.252188466759342
2010-01, 0, -0.252188466759342
2010-02, 0, -0.252188466759342
2010-03, 0, -0.252188466759342
2010-04, 0, -0.252188466759342
2010-05, 0, -0.252188466759342
2010-06, 0, -0.252188466759342
2010-07, 0, -0.252188466759342
2010-08, 0, -0.252188466759342
2010-09, 0, -0.252188466759342
2010-10, 0, -0.252188466759342
2010-11, 0, -0.252188466759342
2010-12, 0, -0.252188466759342
2011-01, 0, -0.252188466759342
2011-02, 0, -0.252188466759342
2011-03, 0, -0.252188466759342
2011-04, 0, -0.252188466759342
2011-05, 0, -0.252188466759342
2011-06, 0, -0.252188466759342
2011-07, 6, 6.99491168327226
2011-08, 0, -0.252188466759342
2011-09, 0, -0.252188466759342
2011-10, 0, -0.252188466759342
2011-11, 0, -0.252188466759342
2011-12, 0, -0.252188466759342
2012-01, 0, -0.252188466759342
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 0, -0.252188466759342
2012-05, 0, -0.252188466759342
2012-06, 4, 4.57921163326173
2012-07, 2, 2.16351158325119
2012-08, 0, -0.252188466759342
2012-09, 0, -0.252188466759342
2012-10, 0, -0.252188466759342
2012-11, 0, -0.252188466759342
2012-12, 0, -0.252188466759342
2013-01, 0, -0.252188466759342
2013-02, 0, -0.252188466759342
2013-03, 0, -0.252188466759342
2013-04, 0, -0.252188466759342
2013-05, 0, -0.252188466759342
2013-06, 0, -0.252188466759342
2013-07, 2, 2.16351158325119
2013-08, 0, -0.252188466759342
2013-09, 0, -0.252188466759342
2013-10, 0, -0.252188466759342
2013-11, 0, -0.252188466759342
2013-12, 0, -0.252188466759342
2014-01, 0, -0.252188466759342
2014-02, 0, -0.252188466759342
2014-03, 0, -0.252188466759342
2014-04, 0, -0.252188466759342
2014-05, 0, -0.252188466759342
2014-06, 0, -0.252188466759342
2014-07, -99.9, -99.9
2014-08, 0, -0.252188466759342
2014-09, 0, -0.252188466759342
2014-10, 0, -0.252188466759342
2014-11, 0, -0.252188466759342
2014-12, 0, -0.252188466759342
2015-01, 0, -0.252188466759342
2015-02, 0, -0.252188466759342
2015-03, 0, -0.252188466759342
2015-04, 0, -0.252188466759342
2015-05, 0, -0.252188466759342
2015-06, 0, -0.252188466759342
2015-07, 0, -0.252188466759342
2015-08, 0, -0.252188466759342
2015-09, 0, -0.252188466759342
2015-10, 0, -0.252188466759342
2015-11, 0, -0.252188466759342
2015-12, 0, -0.252188466759342
2016-01, 0, -0.252188466759342
2016-02, 0, -0.252188466759342
2016-03, 0, -0.252188466759342
2016-04, 0, -0.252188466759342
2016-05, 0, -0.252188466759342
2016-06, 2, 2.16351158325119
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 0, -0.252188466759342
2016-12, 0, -0.252188466759342
2017-01, 0, -0.252188466759342
2017-02, 0, -0.252188466759342
2017-03, 0, -0.252188466759342
2017-04, 0, -0.252188466759342
2017-05, 0, -0.252188466759342
2017-06, 0, -0.252188466759342
2017-07, 0, -0.252188466759342
2017-08, 0, -0.252188466759342
2017-09, 0, -0.252188466759342
2017-10, 0, -0.252188466759342
2017-11, 0, -0.252188466759342
2017-12, 0, -0.252188466759342
2018-01, 0, -0.252188466759342
2018-02, 0, -0.252188466759342
2018-03, 0, -0.252188466759342
2018-04, 0, -0.252188466759342
2018-05, 0, -0.252188466759342
2018-06, 2, 2.16351158325119
2018-07, 0, -0.252188466759342
2018-08, 0, -0.252188466759342
2018-09, 0, -0.252188466759342
2018-10, 0, -0.252188466759342
2018-11, 0, -0.252188466759342
2018-12, 0, -0.252188466759342
2019-01, 0, -0.252188466759342
2019-02, 0, -0.252188466759342
2019-03, 0, -0.252188466759342
2019-04, 0, -0.252188466759342
2019-05, 0, -0.252188466759342
2019-06, 0, -0.252188466759342
2019-07, 3, 3.37136160825646
2019-08, 0, -0.252188466759342
2019-09, 0, -0.252188466759342
2019-10, 0, -0.252188466759342
2019-11, 0, -0.252188466759342
2019-12, 0, -0.252188466759342
2020-01, 0, -0.252188466759342
2020-02, 0, -0.252188466759342
2020-03, 0, -0.252188466759342
2020-04, 0, -0.252188466759342
2020-05, 0, -0.252188466759342
2020-06, 0, -0.252188466759342
2020-07, 3, 3.37136160825646
2020-08, 2, 2.16351158325119
2020-09, 0, -0.252188466759342
2020-10, 0, -0.252188466759342
2020-11, 0, -0.252188466759342
2020-12, 0, -0.252188466759342
2021-01, 0, -0.252188466759342
2021-02, 0, -0.252188466759342
2021-03, 0, -0.252188466759342
2021-04, 0, -0.252188466759342
2021-05, 0, -0.252188466759342
2021-06, 0, -0.252188466759342
2021-07, 4, 4.57921163326173
2021-08, 0, -0.252188466759342
2021-09, -99.9, -99.9
2021-10, 0, -0.252188466759342
2021-11, 0, -0.252188466759342
2021-12, 0, -0.252188466759342
2022-01, 0, -0.252188466759342
2022-02, 0, -0.252188466759342
2022-03, 0, -0.252188466759342
2022-04, 0, -0.252188466759342
2022-05, 0, -0.252188466759342
2022-06, 0, -0.252188466759342
2022-07, 0, -0.252188466759342
