"Description: ","Annual sum of 18 - TM"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, hddheat18, normalised (all years)
2008, 602.75, 0.866545142352867
2009, 596.95, 0.813057547762897
2010, 483, -0.237789245948691
2011, 523.2, 0.132935116554213
2012, -99.9, -99.9
2013, 590.2, 0.750809054059051
2014, -99.9, -99.9
2015, 357.6, -1.39422792898013
2016, -99.9, -99.9
2017, 302.2, -1.90512667730503
2018, 601.25, 0.852712143752013
2019, 453.9, -0.50614941880527
2020, 576.8, 0.627234266558082
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
