"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, prcptot, normalised (all years)
2008-01, 30.4, -1.0970901048113
2008-02, 91.4, -0.422127962668189
2008-03, 58.2, -0.789484407244438
2008-04, 106.8, -0.251727684159929
2008-05, 109.8, -0.218532824710268
2008-06, 115.2, -0.158782077700879
2008-07, 224.6, 1.05172379689676
2008-08, 182, 0.580356792711573
2008-09, 128.6, -0.0105117054923928
2008-10, 237, 1.18892921595536
2008-11, 60.8, -0.760715529054731
2008-12, 60.6, -0.762928519684709
2009-01, 83.8, -0.50622160660733
2009-02, 207.2, 0.859193612088725
2009-03, 96.8, -0.362377215658799
2009-04, 8.8, -1.33609309284886
2009-05, 75, -0.603593194326336
2009-06, 67.2, -0.689899828895455
2009-07, 35.2, -1.04397832969184
2009-08, 138, 0.093498854116545
2009-09, 217.8, 0.976482115477528
2009-10, 47.8, -0.904559920003262
2009-11, 432.8, 3.35544704270323
2009-12, 185, 0.613551652161234
2010-01, 200, 0.779525949409539
2010-02, 217.8, 0.976482115477528
2010-03, 38.4, -1.0085704796122
2010-04, 98.8, -0.340247309359025
2010-05, 87.2, -0.468600765897715
2010-06, 69.4, -0.665556931965703
2010-07, 245.2, 1.27966183178443
2010-08, 60.6, -0.762928519684709
2010-09, 182, 0.580356792711573
2010-10, 54.2, -0.833744219843986
2010-11, 11.8, -1.30289823339919
2010-12, 61, -0.758502538424754
2011-01, 104.2, -0.280496562349636
2011-02, 99.4, -0.333608337469093
2011-03, 81.2, -0.534990484797037
2011-04, 119, -0.116735255731308
2011-05, 69.2, -0.667769922595681
2011-06, 92.4, -0.411063009518302
2011-07, 139.2, 0.106776797896409
2011-08, 91.6, -0.419914972038212
2011-09, 80.2, -0.546055437946924
2011-10, 153, 0.25947315136485
2011-11, 80.2, -0.546055437946924
2011-12, 13.8, -1.28076832709942
2012-01, 19.4, -1.21880458946005
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 88.8, -0.450896840857895
2012-05, 13.8, -1.28076832709942
