"Description: ","Annual number of days when precipitation >= 20 mm"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r20mm, normalised (all years)
2008, 24, -0.529237746757157
2009, 29, 0.192450089729875
2010, 28, 0.0481125224324686
2011, 19, -1.25092558324419
2012, -99.9, -99.9
2013, 24, -0.529237746757157
2014, -99.9, -99.9
2015, 31, 0.481125224324688
2016, -99.9, -99.9
2017, 37, 1.34715062810913
2018, -99.9, -99.9
2019, 38, 1.49148819540653
2020, 19, -1.25092558324419
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
