"Description: ","Monthly number of days when precipitation >= 20 mm"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r20mm, normalised (all years)
2008-01, 0, -1.27469374638416
2008-02, 1, -0.706728937868688
2008-03, 0, -1.27469374638416
2008-04, 2, -0.138764129353213
2008-05, 2, -0.138764129353213
2008-06, 2, -0.138764129353213
2008-07, 7, 2.70105991322416
2008-08, 2, -0.138764129353213
2008-09, 2, -0.138764129353213
2008-10, 4, 0.997165487677738
2008-11, 1, -0.706728937868688
2008-12, 1, -0.706728937868688
2009-01, 1, -0.706728937868688
2009-02, 4, 0.997165487677738
2009-03, 2, -0.138764129353213
2009-04, 0, -1.27469374638416
2009-05, 1, -0.706728937868688
2009-06, 1, -0.706728937868688
2009-07, 0, -1.27469374638416
2009-08, 3, 0.429200679162263
2009-09, 6, 2.13309510470869
2009-10, 1, -0.706728937868688
2009-11, 6, 2.13309510470869
2009-12, 4, 0.997165487677738
2010-01, 5, 1.56513029619321
2010-02, 5, 1.56513029619321
2010-03, 1, -0.706728937868688
2010-04, 1, -0.706728937868688
2010-05, 2, -0.138764129353213
2010-06, 1, -0.706728937868688
2010-07, 5, 1.56513029619321
2010-08, 1, -0.706728937868688
2010-09, 5, 1.56513029619321
2010-10, 1, -0.706728937868688
2010-11, 0, -1.27469374638416
2010-12, 1, -0.706728937868688
2011-01, 2, -0.138764129353213
2011-02, 1, -0.706728937868688
2011-03, 1, -0.706728937868688
2011-04, 2, -0.138764129353213
2011-05, 1, -0.706728937868688
2011-06, 1, -0.706728937868688
2011-07, 3, 0.429200679162263
2011-08, 2, -0.138764129353213
2011-09, 1, -0.706728937868688
2011-10, 3, 0.429200679162263
2011-11, 2, -0.138764129353213
2011-12, 0, -1.27469374638416
2012-01, 0, -1.27469374638416
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 2, -0.138764129353213
2012-05, 0, -1.27469374638416
2012-06, 0, -1.27469374638416
2012-07, 1, -0.706728937868688
2012-08, 1, -0.706728937868688
2012-09, 2, -0.138764129353213
2012-10, 6, 2.13309510470869
2012-11, 1, -0.706728937868688
2012-12, 5, 1.56513029619321
2013-01, 1, -0.706728937868688
2013-02, 2, -0.138764129353213
2013-03, 3, 0.429200679162263
2013-04, 2, -0.138764129353213
2013-05, 3, 0.429200679162263
2013-06, 3, 0.429200679162263
2013-07, 2, -0.138764129353213
2013-08, 1, -0.706728937868688
2013-09, 1, -0.706728937868688
2013-10, 4, 0.997165487677738
2013-11, 2, -0.138764129353213
2013-12, 0, -1.27469374638416
2014-01, 1, -0.706728937868688
2014-02, 2, -0.138764129353213
2014-03, 4, 0.997165487677738
2014-04, 1, -0.706728937868688
2014-05, 2, -0.138764129353213
2014-06, 1, -0.706728937868688
2014-07, -99.9, -99.9
2014-08, 1, -0.706728937868688
2014-09, 4, 0.997165487677738
2014-10, 6, 2.13309510470869
2014-11, 3, 0.429200679162263
2014-12, 4, 0.997165487677738
2015-01, 4, 0.997165487677738
2015-02, 2, -0.138764129353213
2015-03, 1, -0.706728937868688
2015-04, 1, -0.706728937868688
2015-05, 3, 0.429200679162263
2015-06, 1, -0.706728937868688
2015-07, 2, -0.138764129353213
2015-08, 1, -0.706728937868688
2015-09, 3, 0.429200679162263
2015-10, 6, 2.13309510470869
2015-11, 1, -0.706728937868688
2015-12, 6, 2.13309510470869
2016-01, 2, -0.138764129353213
2016-02, 1, -0.706728937868688
2016-03, 1, -0.706728937868688
2016-04, 2, -0.138764129353213
2016-05, 1, -0.706728937868688
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 2, -0.138764129353213
2016-12, 3, 0.429200679162263
2017-01, 6, 2.13309510470869
2017-02, 4, 0.997165487677738
2017-03, 4, 0.997165487677738
2017-04, 2, -0.138764129353213
2017-05, 5, 1.56513029619321
2017-06, 1, -0.706728937868688
2017-07, 0, -1.27469374638416
2017-08, 5, 1.56513029619321
2017-09, 2, -0.138764129353213
2017-10, 5, 1.56513029619321
2017-11, 1, -0.706728937868688
2017-12, 2, -0.138764129353213
2018-01, 2, -0.138764129353213
2018-02, 1, -0.706728937868688
2018-03, -99.9, -99.9
2018-04, -99.9, -99.9
2018-05, -99.9, -99.9
2018-06, 3, 0.429200679162263
2018-07, 1, -0.706728937868688
2018-08, 2, -0.138764129353213
2018-09, 4, 0.997165487677738
2018-10, 2, -0.138764129353213
2018-11, 4, 0.997165487677738
2018-12, 3, 0.429200679162263
2019-01, 6, 2.13309510470869
2019-02, 2, -0.138764129353213
2019-03, 2, -0.138764129353213
2019-04, 5, 1.56513029619321
2019-05, 2, -0.138764129353213
2019-06, 1, -0.706728937868688
2019-07, 4, 0.997165487677738
2019-08, 3, 0.429200679162263
2019-09, 2, -0.138764129353213
2019-10, 9, 3.83698953025511
2019-11, 2, -0.138764129353213
2019-12, 0, -1.27469374638416
2020-01, 2, -0.138764129353213
2020-02, 1, -0.706728937868688
2020-03, 1, -0.706728937868688
2020-04, 0, -1.27469374638416
2020-05, 4, 0.997165487677738
2020-06, 3, 0.429200679162263
2020-07, 1, -0.706728937868688
2020-08, 1, -0.706728937868688
2020-09, 3, 0.429200679162263
2020-10, 0, -1.27469374638416
2020-11, 2, -0.138764129353213
2020-12, 1, -0.706728937868688
2021-01, 5, 1.56513029619321
2021-02, 2, -0.138764129353213
2021-03, 3, 0.429200679162263
2021-04, 0, -1.27469374638416
2021-05, 3, 0.429200679162263
2021-06, 2, -0.138764129353213
2021-07, 1, -0.706728937868688
2021-08, 0, -1.27469374638416
2021-09, -99.9, -99.9
2021-10, 1, -0.706728937868688
2021-11, 1, -0.706728937868688
2021-12, 1, -0.706728937868688
2022-01, 0, -1.27469374638416
2022-02, 1, -0.706728937868688
2022-03, 3, 0.429200679162263
2022-04, 3, 0.429200679162263
2022-05, 0, -1.27469374638416
2022-06, 2, -0.138764129353213
2022-07, 2, -0.138764129353213
2022-08, -99.9, -99.9
2022-09, -99.9, -99.9
2022-10, -99.9, -99.9
2022-11, -99.9, -99.9
2022-12, 2, -0.138764129353213
2023-01, 1, -0.706728937868688
2023-02, 0, -1.27469374638416
2023-03, 1, -0.706728937868688
2023-04, -99.9, -99.9
2023-05, -99.9, -99.9
2023-06, -99.9, -99.9
2023-07, -99.9, -99.9
2023-08, 1, -0.706728937868688
2023-09, 8, 3.26902472173964
2023-10, 4, 0.997165487677738
2023-11, 4, 0.997165487677738
2023-12, 3, 0.429200679162263
2024-01, 2, -0.138764129353213
2024-02, 1, -0.706728937868688
2024-03, 3, 0.429200679162263
2024-04, 5, 1.56513029619321
2024-05, -99.9, -99.9
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
