"Description: ","Number of days when precipitation >= 30"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r30mm, normalised (all years)
2008, 18, 0.442557198363077
2009, 16, 0.136171445650177
2010, 13, -0.323407183419171
2011, 8, -1.08937156520142
2012, -99.9, -99.9
2013, 8, -1.08937156520142
2014, -99.9, -99.9
2015, 19, 0.595750074719526
2016, -99.9, -99.9
2017, 25, 1.51490733285822
2018, -99.9, -99.9
2019, 22, 1.05532870378887
2020, 7, -1.24256444155787
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
