"Description: ","Number of days when precipitation >= 30"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r30mm, normalised (all years)
2008-01, 0, -0.95179090983445
2008-02, 1, -0.220283485682209
2008-03, 0, -0.95179090983445
2008-04, 1, -0.220283485682209
2008-05, 2, 0.511223938470032
2008-06, 2, 0.511223938470032
2008-07, 3, 1.24273136262227
2008-08, 2, 0.511223938470032
2008-09, 1, -0.220283485682209
2008-10, 4, 1.97423878677452
2008-11, 1, -0.220283485682209
2008-12, 1, -0.220283485682209
2009-01, 0, -0.95179090983445
2009-02, 2, 0.511223938470032
2009-03, 1, -0.220283485682209
2009-04, 0, -0.95179090983445
2009-05, 0, -0.95179090983445
2009-06, 1, -0.220283485682209
2009-07, 0, -0.95179090983445
2009-08, 1, -0.220283485682209
2009-09, 3, 1.24273136262227
2009-10, 0, -0.95179090983445
2009-11, 4, 1.97423878677452
2009-12, 4, 1.97423878677452
2010-01, 2, 0.511223938470032
2010-02, 3, 1.24273136262227
2010-03, 1, -0.220283485682209
2010-04, 1, -0.220283485682209
2010-05, 0, -0.95179090983445
2010-06, 1, -0.220283485682209
2010-07, 3, 1.24273136262227
2010-08, 0, -0.95179090983445
2010-09, 2, 0.511223938470032
2010-10, 0, -0.95179090983445
2010-11, 0, -0.95179090983445
2010-12, 0, -0.95179090983445
2011-01, 0, -0.95179090983445
2011-02, 1, -0.220283485682209
2011-03, 1, -0.220283485682209
2011-04, 2, 0.511223938470032
2011-05, 0, -0.95179090983445
2011-06, 0, -0.95179090983445
2011-07, 0, -0.95179090983445
2011-08, 0, -0.95179090983445
2011-09, 1, -0.220283485682209
2011-10, 1, -0.220283485682209
2011-11, 2, 0.511223938470032
2011-12, 0, -0.95179090983445
2012-01, 0, -0.95179090983445
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 2, 0.511223938470032
2012-05, 0, -0.95179090983445
2012-06, 0, -0.95179090983445
2012-07, 1, -0.220283485682209
2012-08, 0, -0.95179090983445
2012-09, 1, -0.220283485682209
2012-10, 4, 1.97423878677452
2012-11, 0, -0.95179090983445
2012-12, 2, 0.511223938470032
2013-01, 0, -0.95179090983445
2013-02, 0, -0.95179090983445
2013-03, 0, -0.95179090983445
2013-04, 1, -0.220283485682209
2013-05, 2, 0.511223938470032
2013-06, 0, -0.95179090983445
2013-07, 0, -0.95179090983445
2013-08, 0, -0.95179090983445
2013-09, 0, -0.95179090983445
2013-10, 3, 1.24273136262227
2013-11, 2, 0.511223938470032
2013-12, 0, -0.95179090983445
2014-01, 1, -0.220283485682209
2014-02, 2, 0.511223938470032
2014-03, 2, 0.511223938470032
2014-04, 1, -0.220283485682209
2014-05, 1, -0.220283485682209
2014-06, 1, -0.220283485682209
2014-07, -99.9, -99.9
2014-08, 1, -0.220283485682209
2014-09, 1, -0.220283485682209
2014-10, 1, -0.220283485682209
2014-11, 2, 0.511223938470032
2014-12, 3, 1.24273136262227
2015-01, 2, 0.511223938470032
2015-02, 0, -0.95179090983445
2015-03, 1, -0.220283485682209
2015-04, 0, -0.95179090983445
2015-05, 2, 0.511223938470032
2015-06, 0, -0.95179090983445
2015-07, 2, 0.511223938470032
2015-08, 1, -0.220283485682209
2015-09, 2, 0.511223938470032
2015-10, 4, 1.97423878677452
2015-11, 0, -0.95179090983445
2015-12, 5, 2.70574621092676
2016-01, 2, 0.511223938470032
2016-02, 1, -0.220283485682209
2016-03, 1, -0.220283485682209
2016-04, 1, -0.220283485682209
2016-05, 1, -0.220283485682209
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 1, -0.220283485682209
2016-12, 2, 0.511223938470032
2017-01, 3, 1.24273136262227
2017-02, 2, 0.511223938470032
2017-03, 3, 1.24273136262227
2017-04, 1, -0.220283485682209
2017-05, 3, 1.24273136262227
2017-06, 1, -0.220283485682209
2017-07, 0, -0.95179090983445
2017-08, 4, 1.97423878677452
2017-09, 2, 0.511223938470032
2017-10, 5, 2.70574621092676
2017-11, 0, -0.95179090983445
2017-12, 1, -0.220283485682209
2018-01, 1, -0.220283485682209
2018-02, 0, -0.95179090983445
2018-03, -99.9, -99.9
2018-04, -99.9, -99.9
2018-05, -99.9, -99.9
2018-06, 1, -0.220283485682209
2018-07, 0, -0.95179090983445
2018-08, 2, 0.511223938470032
2018-09, 2, 0.511223938470032
2018-10, 0, -0.95179090983445
2018-11, 3, 1.24273136262227
2018-12, 3, 1.24273136262227
2019-01, 5, 2.70574621092676
2019-02, 0, -0.95179090983445
2019-03, 1, -0.220283485682209
2019-04, 2, 0.511223938470032
2019-05, 1, -0.220283485682209
2019-06, 0, -0.95179090983445
2019-07, 4, 1.97423878677452
2019-08, 1, -0.220283485682209
2019-09, 2, 0.511223938470032
2019-10, 5, 2.70574621092676
2019-11, 1, -0.220283485682209
2019-12, 0, -0.95179090983445
2020-01, 0, -0.95179090983445
2020-02, 1, -0.220283485682209
2020-03, 0, -0.95179090983445
2020-04, 0, -0.95179090983445
2020-05, 2, 0.511223938470032
2020-06, 2, 0.511223938470032
2020-07, 1, -0.220283485682209
2020-08, 0, -0.95179090983445
2020-09, 0, -0.95179090983445
2020-10, 0, -0.95179090983445
2020-11, 1, -0.220283485682209
2020-12, 0, -0.95179090983445
2021-01, 3, 1.24273136262227
2021-02, 1, -0.220283485682209
2021-03, 2, 0.511223938470032
2021-04, 0, -0.95179090983445
2021-05, 3, 1.24273136262227
2021-06, 2, 0.511223938470032
2021-07, 1, -0.220283485682209
2021-08, 0, -0.95179090983445
2021-09, -99.9, -99.9
2021-10, 1, -0.220283485682209
2021-11, 0, -0.95179090983445
2021-12, 0, -0.95179090983445
2022-01, 0, -0.95179090983445
2022-02, 1, -0.220283485682209
2022-03, 2, 0.511223938470032
2022-04, 3, 1.24273136262227
2022-05, 0, -0.95179090983445
2022-06, 2, 0.511223938470032
2022-07, 2, 0.511223938470032
2022-08, -99.9, -99.9
2022-09, -99.9, -99.9
2022-10, -99.9, -99.9
2022-11, -99.9, -99.9
2022-12, 1, -0.220283485682209
2023-01, 0, -0.95179090983445
2023-02, 0, -0.95179090983445
2023-03, 0, -0.95179090983445
2023-04, -99.9, -99.9
2023-05, -99.9, -99.9
2023-06, -99.9, -99.9
2023-07, -99.9, -99.9
2023-08, 1, -0.220283485682209
2023-09, 8, 4.90026848338348
2023-10, 2, 0.511223938470032
2023-11, 1, -0.220283485682209
2023-12, 1, -0.220283485682209
2024-01, 1, -0.220283485682209
2024-02, 1, -0.220283485682209
2024-03, 2, 0.511223938470032
2024-04, 5, 2.70574621092676
2024-05, -99.9, -99.9
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
