"Description: ","Annual sum of daily precipitation > 99th percentile"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r99p, normalised (all years)
2008, 96.4, 0.366220013067051
2009, 0, -0.795932449760211
2010, 0, -0.795932449760211
2011, 0, -0.795932449760211
2012, -99.9, -99.9
2013, 137.2, 0.858085370778174
2014, -99.9, -99.9
2015, 204.2, 1.66580544349007
2016, -99.9, -99.9
2017, 0, -0.795932449760211
2018, -99.9, -99.9
2019, 156.4, 1.08955142146576
2020, 0, -0.795932449760211
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
