"Description: ","100*r99p / PRCPTOT"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r99ptot, normalised (all years)
2008, 6.85925715098904, 0.575953688246336
2009, 0, -0.819615704547669
2010, 0, -0.819615704547669
2011, 0, -0.819615704547669
2012, -99.9, -99.9
2013, 10.8699096815085, 1.39195224224685
2014, -99.9, -99.9
2015, 10.3791806445054, 1.2921095903209
2016, -99.9, -99.9
2017, 0, -0.819615704547669
2018, -99.9, -99.9
2019, 8.14753073556991, 0.838063001924252
2020, 0, -0.819615704547669
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
