"Description: ","Maximum 3-day precipitation total"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx3day, normalised (all years)
2008, 124.2, -0.397936770549927
2009, 132.8, -0.246658253651281
2010, 93.2, -0.943243052393884
2011, 70.6, -1.34078892238335
2012, -99.9, -99.9
2013, 160.8, 0.245876452530358
2014, -99.9, -99.9
2015, 248.4, 1.78680646187006
2016, -99.9, -99.9
2017, 152.2, 0.0945979356317113
2018, -99.9, -99.9
2019, 219, 1.26964502037933
2020, 120.2, -0.468298871433018
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
