"Description: ","Maximum 3-day precipitation total"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx3day, normalised (all years)
2008-01, 10.8, -1.25120349033593
2008-02, 57.4, -0.193758357577679
2008-03, 57.8, -0.184681575322244
2008-04, 60, -0.134759272917348
2008-05, 85.8, 0.450693182558249
2008-06, 46.8, -0.434293087346723
2008-07, 114.2, 1.09514472269418
2008-08, 100.8, 0.791072517137084
2008-09, 76.2, 0.232850408427794
2008-10, 124.2, 1.32206427908007
2008-11, 51.6, -0.325371700281496
2008-12, 39.2, -0.6067519502
2009-01, 45.8, -0.456985042985312
2009-02, 132.8, 1.51721509757193
2009-03, 37.8, -0.638520688094024
2009-04, 7.40000000000001, -1.32835613950713
2009-05, 38.4, -0.624905514710871
2009-06, 45.8, -0.456985042985312
2009-07, 18.8, -1.06966784522722
2009-08, 87.4, 0.487000311579991
2009-09, 110.2, 1.00437690013982
2009-10, 24, -0.951669675906553
2009-11, 113.8, 1.08606794043874
2009-12, 64.8, -0.0258378858521207
2010-01, 70.4, 0.101237065723978
2010-02, 87.8, 0.496077093835427
2010-03, 36.2, -0.674827817115767
2010-04, 83.2, 0.391694097897917
2010-05, 48.4, -0.397985958324981
2010-06, 47.2, -0.425216305091287
2010-07, 69.8, 0.0876218923408244
2010-08, 47, -0.429754696219005
2010-09, 93.2, 0.618613654283808
2010-10, 24.6, -0.938054502523399
2010-11, 10.6, -1.25574188146365
2010-12, 25.6, -0.91536254688481
2011-01, 39.2, -0.6067519502
2011-02, 48.2, -0.402524349452698
2011-03, 63, -0.0666834060015809
2011-04, 61.8, -0.0939137527678878
2011-05, 38.6, -0.620367123583153
2011-06, 42.2, -0.538676083284232
2011-07, 56.6, -0.211911922088551
2011-08, 35, -0.702058163882073
2011-09, 70.6, 0.105775456851696
2011-10, 70.6, 0.105775456851696
2011-11, 48.6, -0.393447567197263
2011-12, 10.4, -1.26028027259136
2012-01, 17.2, -1.10597497424896
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 38.4, -0.624905514710871
2012-05, 8.40000000000002, -1.30566418386854
2012-06, 31.4, -0.783749204180994
2012-07, 58.2, -0.175604793066808
2012-08, 24.6, -0.938054502523399
2012-09, 133.2, 1.52629187982737
2012-10, 137.6, 1.62613648463716
2012-11, 29.6, -0.824594724330454
2012-12, 71.8, 0.133005803618002
2013-01, 32.8, -0.751980466286969
2013-02, 32, -0.77013403079784
2013-03, 43.2, -0.515984127645643
2013-04, 89.6, 0.536922613984887
2013-05, 49.8, -0.366217220430956
2013-06, 36.2, -0.674827817115767
2013-07, 49.4, -0.375294002686392
2013-08, 31.8, -0.774672421925558
2013-09, 31.2, -0.788287595308712
2013-10, 59, -0.157451228555937
2013-11, 160.8, 2.15258985545243
2013-12, 19, -1.0651294540995
2014-01, 55, -0.248219051110293
2014-02, 93.4, 0.623152045411525
2014-03, 129, 1.43098566614529
2014-04, 68.8, 0.0649299367022354
2014-05, 68.2, 0.0513147633190821
2014-06, 50.6, -0.348063655920085
2014-07, -99.9, -99.9
2014-08, 34.8, -0.706596555009791
2014-09, 54.2, -0.266372615621164
2014-10, 81.8, 0.359925360003893
2014-11, 52.4, -0.307218135770625
2014-12, 62.4, -0.0802985793847343
2015-01, 55, -0.248219051110293
2015-02, 31, -0.79282598643643
2015-03, 59.4, -0.148374446300501
2015-04, 48, -0.407062740580416
2015-05, 50.8, -0.343525264792367
2015-06, 43, -0.520522518773361
2015-07, 106.6, 0.9226858598409
2015-08, 35.4, -0.692981381626638
2015-09, 84, 0.409847662408789
2015-10, 248.4, 4.14040516939282
2015-11, 27.2, -0.879055417863068
2015-12, 206.8, 3.19641981482752
2016-01, 48.6, -0.393447567197263
2016-02, 37.6, -0.643059079221742
2016-03, 35.8, -0.683904599371202
2016-04, 134.2, 1.54898383546596
2016-05, 41.2, -0.561368038922821
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 36.8, -0.661212643732613
2016-12, 63.8, -0.0485298414907097
2017-01, 95.8, 0.677612738944139
2017-02, 98.8, 0.745688605859906
2017-03, 152.2, 1.95743903696056
2017-04, 64, -0.0439914503629919
2017-05, 133.4, 1.53083027095509
2017-06, 79.2, 0.300926275343561
2017-07, 18, -1.08782140973809
2017-08, 120.4, 1.23583484765343
2017-09, 60.6000000000001, -0.121144099534192
2017-10, 102.2, 0.822841255031109
2017-11, 37.6000000000001, -0.64305907922174
2017-12, 84.2, 0.414386053536506
2018-01, 86.6000000000001, 0.468846747069122
2018-02, 32.4000000000001, -0.761057248542403
2018-03, -99.9, -99.9
2018-04, -99.9, -99.9
2018-05, -99.9, -99.9
2018-06, 39.6000000000001, -0.597675167944562
2018-07, 28.4000000000001, -0.851825071096759
2018-08, 86.4, 0.464308355941402
2018-09, 131.2, 1.48090796855019
2018-10, 80.6000000000001, 0.332695013237588
2018-11, 121.8, 1.26760358554745
2018-12, 136.2, 1.59436774674314
2019-01, 219, 3.47326167361831
2019-02, 25.8000000000001, -0.91082415575709
2019-03, 52.2, -0.311756526898342
2019-04, 79.4, 0.305464666471279
2019-05, 50.4, -0.352602047047803
2019-06, 41.4, -0.556829647795104
2019-07, 159.2, 2.11628272643068
2019-08, 34.4, -0.715673337265227
2019-09, 95.6, 0.673074347816421
2019-10, 105.4, 0.895455513074594
2019-11, 48, -0.407062740580416
2019-12, 15.6, -1.1422821032707
2020-01, 35, -0.702058163882073
2020-02, 46.8, -0.434293087346723
2020-03, 29.2, -0.83367150658589
2020-04, 6.60000000000004, -1.346509704018
2020-05, 120.2, 1.23129645652571
2020-06, 50.6, -0.348063655920085
2020-07, 50.6, -0.348063655920085
2020-08, 50, -0.361678829303238
2020-09, 62.4, -0.0802985793847343
2020-10, 26.4, -0.897208982373939
2020-11, 41.8, -0.547752865539668
2020-12, 29.6, -0.824594724330454
2021-01, 151.2, 1.93474708132197
2021-02, 68.8, 0.0649299367022354
2021-03, 43.2, -0.515984127645643
2021-04, 18.8, -1.06966784522722
2021-05, 48.4, -0.397985958324981
2021-06, 83.8, 0.405309271281071
2021-07, 39.2, -0.6067519502
2021-08, 42.2, -0.538676083284232
2021-09, -99.9, -99.9
2021-10, 39.8, -0.593136776816846
2021-11, 25.2, -0.924439329140246
2021-12, 33.6, -0.733826901776098
2022-01, 32.6, -0.756518857414687
2022-02, 90.8, 0.564152960751194
2022-03, 90.8, 0.564152960751194
2022-04, 208.8, 3.2418037261047
2022-05, 31.8, -0.774672421925558
2022-06, 40, -0.588598385689128
2022-07, 112.8, 1.06337598480015
2022-08, -99.9, -99.9
2022-09, -99.9, -99.9
2022-10, -99.9, -99.9
2022-11, -99.9, -99.9
2022-12, 34.8, -0.706596555009791
2023-01, 22, -0.997053587183731
2023-02, 21, -1.01974554282232
2023-03, 35.4, -0.692981381626638
2023-04, -99.9, -99.9
2023-05, -99.9, -99.9
2023-06, -99.9, -99.9
2023-07, -99.9, -99.9
2023-08, 42.4, -0.534137692156515
2023-09, 163.4, 2.21158894011276
2023-10, 80, 0.319079839854432
2023-11, 93.4, 0.623152045411525
2023-12, 42.4, -0.534137692156515
2024-01, 91.4, 0.577768134134347
2024-02, 105.2, 0.890917121946876
2024-03, 76.6, 0.24192719068323
2024-04, 220.2, 3.50049202038461
2024-05, -99.9, -99.9
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
