"Description: ","Maximum annual 5-day precipitation total"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx5day, normalised (all years)
2008, 135, -0.378353430810639
2009, 162.2, 0.0536471282492695
2010, 110, -0.775412768181879
2011, 72.8, -1.36623706219028
2012, -99.9, -99.9
2013, 161, 0.0345882800554502
2014, -99.9, -99.9
2015, 276.4, 1.86741418136109
2016, -99.9, -99.9
2017, 152.6, -0.0988236573012864
2018, -99.9, -99.9
2019, 237.2, 1.24482514036299
2020, 122.2, -0.581647811544714
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
