"Description: ","Maximum monthly 5-day precipitation total"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx5day, normalised (all years)
2008-01, 25.4, -0.998290682701296
2008-02, 59, -0.330595720112807
2008-03, 72.4, -0.0643126100328739
2008-04, 78.2, 0.0509442585091866
2008-05, 85.8, 0.201970500047059
2008-06, 49.4, -0.521365709423804
2008-07, 135, 1.17966669526592
2008-08, 109.2, 0.666972348992614
2008-09, 76.4, 0.0151748855133748
2008-10, 125.2, 0.984922331177609
2008-11, 51.6, -0.477647586873367
2008-12, 39.6, -0.716110073512113
2009-01, 46, -0.588930080638115
2009-02, 155.6, 1.5890272973291
2009-03, 54, -0.429955089545618
2009-04, 7.59999999999999, -1.3520100378821
2009-05, 38.4, -0.739956322175988
2009-06, 46, -0.588930080638115
2009-07, 19, -1.12547067557529
2009-08, 112.2, 0.7265879706523
2009-09, 110.6, 0.694792972433801
2009-10, 24, -1.02611130614248
2009-11, 162.2, 1.72018166498041
2009-12, 98.6, 0.456330485795055
2010-01, 99, 0.46427923534968
2010-02, 94.6, 0.376842990248806
2010-03, 36.4, -0.779700069949112
2010-04, 90.2, 0.289406745147933
2010-05, 48.6, -0.537263208533054
2010-06, 48, -0.549186332864991
2010-07, 110, 0.682869848101863
2010-08, 58.4, -0.342518844444744
2010-09, 102.4, 0.531843606563991
2010-10, 24.6, -1.01418818181055
2010-11, 10.6, -1.29239441622242
2010-12, 25.6, -0.994316307923983
2011-01, 42.8, -0.652520077075114
2011-02, 55.6, -0.398160091327118
2011-03, 63.6, -0.239185100234621
2011-04, 61.8, -0.274954473230433
2011-05, 38.8, -0.732007572621363
2011-06, 58, -0.350467593999369
2011-07, 64.4, -0.223287601125371
2011-08, 42, -0.668417576184364
2011-09, 70.6, -0.100081983028686
2011-10, 72.8, -0.0563638604782492
2011-11, 48.6, -0.537263208533054
2011-12, 11.4, -1.27649691711317
2012-01, 17.2, -1.16124004857111
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 46.4, -0.58098133108349
2012-05, 8.39999999999998, -1.33611253877285
2012-06, 41, -0.688289450070926
2012-07, 61.6, -0.278928848007745
2012-08, 25.8, -0.990341933146671
2012-09, 150.8, 1.4936423026736
2012-10, 147.2, 1.42210355668198
2012-11, 48.8, -0.533288833755741
2012-12, 86, 0.205944874824371
2013-01, 41.8, -0.672391950961676
2013-02, 32, -0.867136315049986
2013-03, 59, -0.330595720112807
2013-04, 89.6, 0.277483620815995
2013-05, 68, -0.151748855133748
2013-06, 41.4, -0.680340700516301
2013-07, 52.6, -0.457775712986805
2013-08, 32.8, -0.851238815940736
2013-09, 31.4, -0.879059439381923
2013-10, 63.8, -0.235210725457309
2013-11, 161, 1.69633541631653
2013-12, 19, -1.12547067557529
2014-01, 88.6, 0.257611746929433
2014-02, 105.2, 0.587484853446365
2014-03, 157.6, 1.62877104510222
2014-04, 74.4, -0.0245688622597496
2014-05, 68.4, -0.143800105579123
2014-06, 59.2, -0.326621345335495
2014-07, -99.9, -99.9
2014-08, 40.2, -0.704186949180176
2014-09, 58.4, -0.342518844444744
2014-10, 82, 0.126457379278123
2014-11, 54.6, -0.418031965213681
2014-12, 92.2, 0.329150492921057
2015-01, 57.8, -0.354441968776682
2015-02, 31.8, -0.871110689827298
2015-03, 66, -0.191492602906872
2015-04, 59.2, -0.326621345335495
2015-05, 76, 0.0072261359587498
2015-06, 48.6, -0.537263208533054
2015-07, 107, 0.623254226442177
2015-08, 35.4, -0.799571943835674
2015-09, 107.2, 0.627228601219489
2015-10, 276.4, 3.98954966282581
2015-11, 38.8, -0.732007572621363
2015-12, 220.2, 2.87275035040101
2016-01, 48.6, -0.537263208533054
2016-02, 42.6, -0.656494451852426
2016-03, 36.4, -0.779700069949112
2016-04, 143.2, 1.34261606113573
2016-05, 41.4, -0.680340700516301
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 36.8, -0.771751320394487
2016-12, 63.8, -0.235210725457309
2017-01, 95.8, 0.400689238912681
2017-02, 127.6, 1.03261482850536
2017-03, 152.6, 1.52941167566941
2017-04, 64.2, -0.227261975902684
2017-05, 133.8, 1.15582044660204
2017-06, 79.6, 0.0787648819503735
2017-07, 21.2, -1.08175255302486
2017-08, 130.6, 1.09223045016504
2017-09, 69.2, -0.127902606469873
2017-10, 129, 1.06043545194654
2017-11, 37.6, -0.755853821285237
2017-12, 84.2, 0.17017550182856
2018-01, 86.6, 0.217867999156309
2018-02, 32.4, -0.859187565495361
2018-03, -99.9, -99.9
2018-04, -99.9, -99.9
2018-05, -99.9, -99.9
2018-06, 41.2, -0.684315075293614
2018-07, 43, -0.648545702297802
2018-08, 104.4, 0.571587354337115
2018-09, 140.4, 1.28697481425335
2018-10, 80.6, 0.0986367558369357
2018-11, 167.8, 1.83146415874516
2018-12, 158, 1.63671979465685
2019-01, 237.2, 3.21057220647257
2019-02, 29, -0.926751936709672
2019-03, 70.6, -0.100081983028686
2019-04, 80.6, 0.0986367558369357
2019-05, 67.4, -0.163671979465685
2019-06, 43, -0.648545702297802
2019-07, 175.4, 1.98249040028303
2019-08, 58.8, -0.33457009489012
2019-09, 107.8, 0.639151725551427
2019-10, 186.6, 2.20505538781253
2019-11, 92.2, 0.329150492921057
2019-12, 15.6, -1.19303504678961
2020-01, 46.6, -0.577006956306178
2020-02, 46.8, -0.573032581528865
2020-03, 32.8, -0.851238815940736
2020-04, 6.99999999999998, -1.36393316221404
2020-05, 122.2, 0.925306709517922
2020-06, 50.6, -0.497519460759929
2020-07, 50.6, -0.497519460759929
2020-08, 54.4, -0.422006339990993
2020-09, 68.6, -0.13982573080181
2020-10, 38.6, -0.735981947398675
2020-11, 67.2, -0.167646354242997
2020-12, 61.2, -0.28687759756237
2021-01, 151.4, 1.50556542700554
2021-02, 118, 0.841844839194361
2021-03, 76.2, 0.0112005107360623
2021-04, 20.6, -1.09367567735679
2021-05, 48.6, -0.537263208533054
2021-06, 134.8, 1.17569232048861
2021-07, 40.6, -0.696238199625551
2021-08, 45, -0.608801954524677
2021-09, -99.9, -99.9
2021-10, 55.8, -0.394185716549806
2021-11, 25.2, -1.00226505747861
2021-12, 33.6, -0.835341316831486
2022-01, 32.6, -0.855213190718048
2022-02, 94, 0.364919865916869
2022-03, 90.8, 0.30132986947987
2022-04, 212.6, 2.72172410886314
2022-05, 42, -0.668417576184364
2022-06, 40.2, -0.704186949180176
2022-07, 126.8, 1.01671732939611
2022-08, -99.9, -99.9
2022-09, -99.9, -99.9
2022-10, -99.9, -99.9
2022-11, -99.9, -99.9
2022-12, 53.6, -0.437903839100243
2023-01, 22.2, -1.06188067913829
2023-02, 23, -1.04598318002905
2023-03, 35.4, -0.799571943835674
2023-04, -99.9, -99.9
2023-05, -99.9, -99.9
2023-06, -99.9, -99.9
2023-07, -99.9, -99.9
2023-08, 46.2, -0.584955705860803
2023-09, 204.6, 2.56274911777064
2023-10, 80.2, 0.090688006282311
2023-11, 119.4, 0.869665462635548
2023-12, 63.4, -0.243159475011934
2024-01, 106.8, 0.619279851664864
2024-02, 105.2, 0.587484853446365
2024-03, 82.8, 0.142354878387372
2024-04, 286, 4.1803196521368
2024-05, -99.9, -99.9
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
