"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, su, normalised (all years)
2008-01, 30, 1.13245986344319
2008-02, 29, 1.04118099048187
2008-03, 30, 1.13245986344319
2008-04, 20, 0.219671133829989
2008-05, 5, -1.14951196058981
2008-06, 0, -1.60590632539641
2008-07, 5, -1.14951196058981
2008-08, 2, -1.42334857947377
2008-09, 5, -1.14951196058981
2008-10, 13, -0.419280976899249
2008-11, 28, 0.949902117520548
2008-12, 30, 1.13245986344319
2009-01, 29, 1.04118099048187
2009-02, 26, 0.767344371597908
2009-03, 31, 1.22373873640451
2009-04, 25, 0.676065498636588
2009-05, 12, -0.510559849860569
2009-06, 2, -1.42334857947377
2009-07, 0, -1.60590632539641
2009-08, 13, -0.419280976899249
2009-09, 5, -1.14951196058981
2009-10, 18, 0.0371133879073497
2009-11, 21, 0.310950006791309
2009-12, 30, 1.13245986344319
2010-01, 31, 1.22373873640451
2010-02, 27, 0.858623244559228
2010-03, 30, 1.13245986344319
2010-04, 17, -0.0541654850539701
2010-05, 4, -1.24079083355113
2010-06, 3, -1.33206970651245
2010-07, 8, -0.875675341705848
2010-08, 6, -1.05823308762849
2010-09, 7, -0.966954214667168
2010-10, 17, -0.0541654850539701
2010-11, 27, 0.858623244559228
2010-12, 30, 1.13245986344319
2011-01, 31, 1.22373873640451
2011-02, 27, 0.858623244559228
2011-03, 28, 0.949902117520548
2011-04, 23, 0.493507752713949
2011-05, 3, -1.33206970651245
2011-06, 3, -1.33206970651245
2011-07, 2, -1.42334857947377
2011-08, 4, -1.24079083355113
2011-09, 10, -0.693117595783209
2011-10, 16, -0.14544435801529
2011-11, 29, 1.04118099048187
2011-12, 28, 0.949902117520548
2012-01, 31, 1.22373873640451
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 17, -0.0541654850539701
2012-05, 14, -0.32800210393793
2012-06, 6, -1.05823308762849
