"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmge10, normalised (all years)
2008-01, 31, 0.680006354340058
2008-02, 29, -0.0152810416705631
2008-03, 31, 0.680006354340058
2008-04, 30, 0.332362656334748
2008-05, 28, -0.362924739675874
2008-06, 21, -2.79643062571305
2008-07, 30, 0.332362656334748
2008-08, 30, 0.332362656334748
2008-09, 27, -0.710568437681184
2008-10, 31, 0.680006354340058
2008-11, 30, 0.332362656334748
2008-12, 31, 0.680006354340058
2009-01, 31, 0.680006354340058
2009-02, 28, -0.362924739675874
2009-03, 31, 0.680006354340058
2009-04, 30, 0.332362656334748
2009-05, 30, 0.332362656334748
2009-06, 21, -2.79643062571305
2009-07, 21, -2.79643062571305
2009-08, 31, 0.680006354340058
2009-09, 29, -0.0152810416705631
2009-10, 30, 0.332362656334748
2009-11, 30, 0.332362656334748
2009-12, 31, 0.680006354340058
2010-01, 31, 0.680006354340058
2010-02, 28, -0.362924739675874
2010-03, 31, 0.680006354340058
2010-04, 30, 0.332362656334748
2010-05, 31, 0.680006354340058
2010-06, 28, -0.362924739675874
2010-07, 22, -2.44878692770774
2010-08, 24, -1.75349953169712
2010-09, 30, 0.332362656334748
2010-10, 31, 0.680006354340058
2010-11, 30, 0.332362656334748
2010-12, 31, 0.680006354340058
2011-01, 31, 0.680006354340058
2011-02, 28, -0.362924739675874
2011-03, 31, 0.680006354340058
2011-04, 30, 0.332362656334748
2011-05, 31, 0.680006354340058
2011-06, 25, -1.40585583369181
2011-07, 22, -2.44878692770774
2011-08, 26, -1.0582121356865
2011-09, 30, 0.332362656334748
2011-10, 31, 0.680006354340058
2011-11, 30, 0.332362656334748
2011-12, 31, 0.680006354340058
2012-01, 31, 0.680006354340058
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 30, 0.332362656334748
2012-05, 31, 0.680006354340058
2012-06, 24, -1.75349953169712
2012-07, 20, -3.14407432371836
2012-08, 31, 0.680006354340058
2012-09, 30, 0.332362656334748
2012-10, 31, 0.680006354340058
2012-11, 30, 0.332362656334748
2012-12, 31, 0.680006354340058
2013-01, 31, 0.680006354340058
2013-02, 28, -0.362924739675874
2013-03, 30, 0.332362656334748
2013-04, 30, 0.332362656334748
2013-05, 29, -0.0152810416705631
2013-06, 30, 0.332362656334748
2013-07, 24, -1.75349953169712
2013-08, 21, -2.79643062571305
2013-09, 30, 0.332362656334748
2013-10, 31, 0.680006354340058
2013-11, 30, 0.332362656334748
2013-12, 31, 0.680006354340058
2014-01, 31, 0.680006354340058
2014-02, 28, -0.362924739675874
2014-03, 31, 0.680006354340058
2014-04, 30, 0.332362656334748
2014-05, 29, -0.0152810416705631
2014-06, 28, -0.362924739675874
2014-07, -99.9, -99.9
2014-08, 29, -0.0152810416705631
2014-09, 30, 0.332362656334748
2014-10, 31, 0.680006354340058
2014-11, 30, 0.332362656334748
2014-12, 31, 0.680006354340058
2015-01, 31, 0.680006354340058
2015-02, 28, -0.362924739675874
2015-03, 31, 0.680006354340058
2015-04, 30, 0.332362656334748
2015-05, 31, 0.680006354340058
2015-06, 27, -0.710568437681184
2015-07, 30, 0.332362656334748
2015-08, 31, 0.680006354340058
2015-09, 29, -0.0152810416705631
2015-10, 31, 0.680006354340058
2015-11, 30, 0.332362656334748
2015-12, 31, 0.680006354340058
2016-01, 31, 0.680006354340058
2016-02, 29, -0.0152810416705631
2016-03, 31, 0.680006354340058
2016-04, 30, 0.332362656334748
2016-05, 30, 0.332362656334748
2016-06, 18, -3.83936171972898
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 30, 0.332362656334748
2016-12, 31, 0.680006354340058
2017-01, 31, 0.680006354340058
2017-02, 28, -0.362924739675874
2017-03, 31, 0.680006354340058
2017-04, 30, 0.332362656334748
2017-05, 31, 0.680006354340058
2017-06, 29, -0.0152810416705631
2017-07, 28, -0.362924739675874
2017-08, 31, 0.680006354340058
2017-09, 30, 0.332362656334748
2017-10, 31, 0.680006354340058
2017-11, 30, 0.332362656334748
2017-12, 31, 0.680006354340058
2018-01, 31, 0.680006354340058
2018-02, 28, -0.362924739675874
2018-03, 31, 0.680006354340058
2018-04, 30, 0.332362656334748
2018-05, 31, 0.680006354340058
2018-06, 18, -3.83936171972898
2018-07, 23, -2.10114322970243
2018-08, 26, -1.0582121356865
2018-09, 30, 0.332362656334748
2018-10, 31, 0.680006354340058
2018-11, 30, 0.332362656334748
2018-12, 31, 0.680006354340058
2019-01, 31, 0.680006354340058
2019-02, 28, -0.362924739675874
2019-03, 31, 0.680006354340058
2019-04, 30, 0.332362656334748
2019-05, 31, 0.680006354340058
2019-06, 28, -0.362924739675874
2019-07, 23, -2.10114322970243
2019-08, 26, -1.0582121356865
2019-09, 29, -0.0152810416705631
2019-10, 31, 0.680006354340058
2019-11, 30, 0.332362656334748
2019-12, 31, 0.680006354340058
2020-01, 31, 0.680006354340058
2020-02, 29, -0.0152810416705631
2020-03, 31, 0.680006354340058
2020-04, 30, 0.332362656334748
2020-05, 31, 0.680006354340058
2020-06, 24, -1.75349953169712
2020-07, 19, -3.49171802172367
2020-08, 27, -0.710568437681184
2020-09, 30, 0.332362656334748
2020-10, 31, 0.680006354340058
2020-11, 30, 0.332362656334748
2020-12, 31, 0.680006354340058
2021-01, 31, 0.680006354340058
2021-02, 28, -0.362924739675874
2021-03, 31, 0.680006354340058
2021-04, 30, 0.332362656334748
2021-05, 29, -0.0152810416705631
2021-06, 24, -1.75349953169712
2021-07, 23, -2.10114322970243
2021-08, 28, -0.362924739675874
2021-09, -99.9, -99.9
2021-10, 29, -0.0152810416705631
2021-11, 30, 0.332362656334748
2021-12, 31, 0.680006354340058
2022-01, 31, 0.680006354340058
2022-02, 28, -0.362924739675874
2022-03, 31, 0.680006354340058
2022-04, 30, 0.332362656334748
2022-05, 28, -0.362924739675874
