"Description: ","Annual number of days when TM >= 5 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmge5, normalised (all years)
2008, 365, 0.588348405414552
2009, 363, -1.76504521624366
2010, 365, 0.588348405414552
2011, 364, -0.588348405414552
2012, -99.9, -99.9
2013, 364, -0.588348405414552
2014, -99.9, -99.9
2015, 365, 0.588348405414552
2016, -99.9, -99.9
2017, 365, 0.588348405414552
2018, 364, -0.588348405414552
2019, 364, -0.588348405414552
2020, 366, 1.76504521624366
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
