"Description: ","Annual number of days when TM < 10 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmlt10, normalised (all years)
2008, 16, -0.0726326251866239
2009, 21, 0.653693626679615
2010, 18, 0.217897875559872
2011, 19, 0.363163125933119
2012, -99.9, -99.9
2013, 19, 0.363163125933119
2014, -99.9, -99.9
2015, 5, -1.67055037929235
2016, -99.9, -99.9
2017, 4, -1.8158156296656
2018, 25, 1.23475462817261
2019, 16, -0.0726326251866239
2020, 22, 0.798958877052863
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
