"Description: ","Heatwave definitions and aspects"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, -99.9, -99.9, 0, -99.9, 0
2009, 23.375, 25.7, 5, 5, 18
2010, -99.9, -99.9, 0, -99.9, 0
2011, -99.9, -99.9, 0, -99.9, 0
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 24.49, 26.3, 2, 6, 11
2014, -99.9, -99.9, -99.9, -99.9, -99.9
2015, 23.6333333333333, 24, 1, 3, 3
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 22.525, 23.6, 1, 4, 4
2019, -99.9, -99.9, 0, -99.9, 0
2020, -99.9, -99.9, 0, -99.9, 0
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, -99.9, -99.9, -99.9, -99.9, -99.9
2023, -99.9, -99.9, -99.9, -99.9, -99.9
2024, -99.9, -99.9, -99.9, -99.9, -99.9
