"Description: ","Annual number of days when TN < -2 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnltm2, normalised (all years)
2008, 0, -0.66078261430393
2009, 2, 1.22716771227873
2010, 0, -0.66078261430393
2011, 3, 2.17114287557006
2012, -99.9, -99.9
2013, 0, -0.66078261430393
2014, -99.9, -99.9
2015, 0, -0.66078261430393
2016, -99.9, -99.9
2017, 0, -0.66078261430393
2018, 0, -0.66078261430393
2019, 1, 0.283192548987399
2020, 1, 0.283192548987399
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
