"Description: ","Annual coldest daily TN"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnn, normalised (all years)
2008, -1.1, -0.0441462979853582
2009, -2.3, -1.10365744963395
2010, 0.5, 1.3685352375461
2011, -2.3, -1.10365744963395
2012, -99.9, -99.9
2013, -0.7, 0.309024085897507
2014, -99.9, -99.9
2015, 0.3, 1.19195004560467
2016, -99.9, -99.9
2017, 0, 0.927072257692522
2018, -0.5, 0.48560927783894
2019, -2.3, -1.10365744963395
2020, -2.1, -0.927072257692522
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
