"Description: ","Monthly coldest daily TN"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnn, normalised (all years)
2008-01, 12.8, 0.970802167447719
2008-02, 12.8, 0.970802167447719
2008-03, 14.1, 1.21131713374943
2008-04, 2.8, -0.879312957950028
2008-05, 0.2, -1.36034289055344
2008-06, -1.1, -1.60085785685515
2008-07, 4.1, -0.638797991648321
2008-08, 4.2, -0.620296840394343
2008-09, 4.3, -0.601795689140366
2008-10, 5.3, -0.416784176600591
2008-11, 11, 0.637781444876124
2008-12, 11.2, 0.674783747384079
2009-01, 13.2, 1.04480677246363
2009-02, 14.1, 1.21131713374943
2009-03, 10.3, 0.508273386098282
2009-04, 7.6, 0.00874230224089042
2009-05, 2.7, -0.897814109204005
2009-06, -0.8, -1.54535440309322
2009-07, -2.3, -1.82287167190288
2009-08, 3.9, -0.675800294156276
2009-09, 3.3, -0.786807201680141
2009-10, 8.3, 0.138250361018733
2009-11, 10.8, 0.60077914236817
2009-12, 12.9, 0.989303318701696
2010-01, 14.9, 1.35932634378125
2010-02, 11.1, 0.656282596130102
2010-03, 10.6, 0.563776839860214
2010-04, 6.4, -0.213271512806839
2010-05, 6.2, -0.250273815314794
2010-06, 0.7, -1.26783713428355
2010-07, 0.8, -1.24933598302958
2010-08, 0.5, -1.30483943679151
2010-09, 6.7, -0.157768059044907
2010-10, 5.4, -0.398283025346614
2010-11, 6.9, -0.120765756536952
2010-12, 10.4, 0.52677453735226
2011-01, 19.6, 2.22888045271819
2011-02, 14.3, 1.24831943625738
2011-03, 9.5, 0.360264176066462
2011-04, 6, -0.287276117822749
2011-05, 5.4, -0.398283025346614
2011-06, 0, -1.3973451930614
2011-07, -2.3, -1.82287167190288
2011-08, 0.1, -1.37884404180742
2011-09, 3.6, -0.731303747918208
2011-10, 9.7, 0.397266478574417
2011-11, 10.8, 0.60077914236817
2011-12, 11.1, 0.656282596130102
2012-01, 15, 1.37782749503522
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 5.8, -0.324278420330704
2012-05, 3.1, -0.823809504188096
2012-06, -4, -2.1373912432205
2012-07, -0.7, -1.52685325183924
2012-08, 6.9, -0.120765756536952
2012-09, 2.9, -0.86081180669605
2012-10, 11, 0.637781444876124
2012-11, 11.7, 0.767289503653966
2012-12, 15.3, 1.43333094879716
2013-01, 12.3, 0.878296411177832
2013-02, 9.6, 0.37876532732044
2013-03, 11, 0.637781444876124
2013-04, 5.4, -0.398283025346614
2013-05, 3.1, -0.823809504188096
2013-06, 3.7, -0.712802596664231
2013-07, -0.7, -1.52685325183924
2013-08, 1.2, -1.17533137801367
2013-09, 3.8, -0.694301445410253
2013-10, 6.6, -0.176269210298884
2013-11, 11, 0.637781444876124
2013-12, 15.2, 1.41482979754318
2014-01, 16.5, 1.65534476384489
2014-02, 15.6, 1.48883440255909
2014-03, 8.8, 0.23075611728862
2014-04, 9.1, 0.286259571050552
2014-05, 2.5, -0.93481641171196
2014-06, 0.6, -1.28633828553753
2014-07, -99.9, -99.9
2014-08, 0.3, -1.34184173929946
2014-09, 9.4, 0.341763024812485
2014-10, 12, 0.822792957415899
2014-11, 11.4, 0.711786049892034
2014-12, 12.8, 0.970802167447719
