"Description: ","Annual warmest daily TN"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnx, normalised (all years)
2008, 23.5, -1.70177269196453
2009, 24.9, 0.444607279882625
2010, 25.8, 1.82442297607009
2011, 24.6, -0.015331285513191
2012, -99.9, -99.9
2013, 25.4, 1.21117155554233
2014, -99.9, -99.9
2015, 24.5, -0.168644140645133
2016, -99.9, -99.9
2017, 24.4, -0.321956995777075
2018, 24.4, -0.321956995777075
2019, 24.6, -0.015331285513191
2020, 24, -0.935208416304833
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
