"Description: ","Monthly warmest daily TN"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnx, normalised (all years)
2008-01, 23.3, 0.845317135466904
2008-02, 22.4, 0.537758390932299
2008-03, 21.8, 0.33271922790923
2008-04, 19.3, -0.521610618020226
2008-05, 19.9, -0.316571454997157
2008-06, 14.1, -2.29861669755349
2008-07, 16, -1.64932601464711
2008-08, 15.9, -1.68349920848429
2008-09, 17.7, -1.06838171941508
2008-10, 19.8, -0.350744648834335
2008-11, 22.8, 0.674451166281012
2008-12, 23.5, 0.91366352314126
2009-01, 23.6, 0.947836716978439
2009-02, 23.6, 0.947836716978439
2009-03, 22.1, 0.435238809420765
2009-04, 20.3, -0.179878679648444
2009-05, 18.9, -0.65830339336894
2009-06, 16.4, -1.5126332392984
2009-07, 16.9, -1.3417672701125
2009-08, 18.8, -0.692476587206117
2009-09, 19, -0.624130199531761
2009-10, 22.1, 0.435238809420765
2009-11, 24.9, 1.39208823686175
2009-12, 24.3, 1.18704907383869
2010-01, 24.2, 1.15287588000151
2010-02, 25.8, 1.69964698139636
2010-03, 22.8, 0.674451166281012
2010-04, 20.2, -0.214051873485622
2010-05, 18.1, -0.931688944066365
2010-06, 16.1, -1.61515282080993
2010-07, 17.1, -1.27342088243815
2010-08, 17.5, -1.13672810708943
2010-09, 18.4, -0.829169362554831
2010-10, 17.8, -1.0342085255779
2010-11, 19.7, -0.384917842671514
2010-12, 22.9, 0.70862436011819
2011-01, 24.6, 1.28956865535022
2011-02, 23.9, 1.05035629848997
2011-03, 22.1, 0.435238809420765
2011-04, 20.4, -0.145705485811266
2011-05, 17.7, -1.06838171941508
2011-06, 17.5, -1.13672810708943
2011-07, 17.4, -1.17090130092661
2011-08, 19, -0.624130199531761
2011-09, 17.9, -1.00003533174072
2011-10, 19, -0.624130199531761
2011-11, 21.6, 0.264372840234874
2011-12, 21.7, 0.298546034072051
2012-01, 24.8, 1.35791504302458
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 20.1, -0.2482250673228
2012-05, 19.8, -0.350744648834335
2012-06, 17.4, -1.17090130092661
2012-07, 18, -0.965862137903544
2012-08, 19.4, -0.487437424183049
2012-09, 19.3, -0.521610618020226
2012-10, 20.4, -0.145705485811266
2012-11, 23.3, 0.845317135466904
2012-12, 26.3, 1.87051295058225
2013-01, 23.2, 0.811143941629725
2013-02, 23.4, 0.879490329304081
2013-03, 22, 0.401065615583586
2013-04, 20.8, -0.00901271046255247
2013-05, 19.4, -0.487437424183049
2013-06, 12.9, -2.70869502359963
2013-07, 18.3, -0.863342556392009
2013-08, 17.4, -1.17090130092661
2013-09, 20.4, -0.145705485811266
2013-10, 18.8, -0.692476587206117
2013-11, 22.5, 0.571931584769477
2013-12, 25.4, 1.56295420604765
2014-01, 26.3, 1.87051295058225
2014-02, 26.1, 1.80216656290789
2014-03, 21.4, 0.196026452560516
2014-04, 23.6, 0.947836716978439
2014-05, 17.6, -1.10255491325226
2014-06, 16.8, -1.37594046394968
2014-07, -99.9, -99.9
2014-08, 19.4, -0.487437424183049
2014-09, 19.1, -0.589957005694582
2014-10, 22.9, 0.70862436011819
2014-11, 24, 1.08452949232715
2014-12, 23.9, 1.05035629848997
2015-01, 24.5, 1.25539546151304
2015-02, 23.5, 0.91366352314126
2015-03, 22.2, 0.469412003257942
2015-04, 19.1, -0.589957005694582
2015-05, 20.2, -0.214051873485622
2015-06, 17.5, -1.13672810708943
2015-07, 16.7, -1.41011365778686
2015-08, 23.1, 0.776970747792547
2015-09, 19.9, -0.316571454997157
2015-10, 21.5, 0.230199646397695
2015-11, 22, 0.401065615583586
2015-12, 24, 1.08452949232715
2016-01, 24.5, 1.25539546151304
2016-02, 25.1, 1.46043462453611
2016-03, 22.9, 0.70862436011819
2016-04, 24.8, 1.35791504302458
2016-05, 16.2, -1.58097962697275
2016-06, 13.5, -2.50365586057656
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 21.8, 0.33271922790923
2016-12, 24.2, 1.15287588000151
2017-01, 24, 1.08452949232715
2017-02, 23.1, 0.776970747792547
2017-03, 24.4, 1.22122226767586
2017-04, 21.3, 0.161853258723339
2017-05, 18.1, -0.931688944066365
2017-06, 17.2, -1.23924768860097
2017-07, 17.9, -1.00003533174072
2017-08, 21.7, 0.298546034072051
2017-09, 21, 0.0593336772118038
2017-10, 20.1, -0.2482250673228
2017-11, 18, -0.965862137903544
2017-12, 22.8, 0.674451166281012
2018-01, 23.4, 0.879490329304081
2018-02, 22.2, 0.469412003257942
2018-03, 22.5, 0.571931584769477
2018-04, 20.4, -0.145705485811266
2018-05, 18.7, -0.726649781043296
2018-06, 17.6, -1.10255491325226
2018-07, 16, -1.64932601464711
2018-08, 16.8, -1.37594046394968
2018-09, 18.8, -0.692476587206117
2018-10, 21.5, 0.230199646397695
2018-11, 23.6, 0.947836716978439
2018-12, 24.4, 1.22122226767586
2019-01, 24.6, 1.28956865535022
2019-02, 22.9, 0.70862436011819
2019-03, 22.9, 0.70862436011819
2019-04, 21.5, 0.230199646397695
2019-05, 22.2, 0.469412003257942
2019-06, 19.9, -0.316571454997157
2019-07, 17.6, -1.10255491325226
2019-08, 16.9, -1.3417672701125
2019-09, 19.8, -0.350744648834335
2019-10, 23.2, 0.811143941629725
2019-11, 22.9, 0.70862436011819
2019-12, 24.2, 1.15287588000151
2020-01, 23.6, 0.947836716978439
2020-02, 24, 1.08452949232715
2020-03, 22, 0.401065615583586
2020-04, 22, 0.401065615583586
2020-05, 17.9, -1.00003533174072
2020-06, 19.2, -0.555783811857405
2020-07, 18.3, -0.863342556392009
2020-08, 18, -0.965862137903544
2020-09, 18.2, -0.897515750229187
2020-10, 20.4, -0.145705485811266
2020-11, 21, 0.0593336772118038
2020-12, 21.9, 0.366892421746407
2021-01, 23.6, 0.947836716978439
2021-02, 20.3, -0.179878679648444
2021-03, 21.9, 0.366892421746407
2021-04, 21, 0.0593336772118038
2021-05, 19.1, -0.589957005694582
