"Description: ","Monthly number of days when TN > 20 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tr, normalised (all years)
2008-01, 15, 1.42249871254393
2008-02, 10, 0.692395030414784
2008-03, 6, 0.108312084711467
2008-04, 0, -0.767812333843508
2008-05, 0, -0.767812333843508
2008-06, 0, -0.767812333843508
2008-07, 0, -0.767812333843508
2008-08, 0, -0.767812333843508
2008-09, 0, -0.767812333843508
2008-10, 0, -0.767812333843508
2008-11, 7, 0.254332821137296
2008-12, 9, 0.546374293988954
2009-01, 11, 0.838415766840613
2009-02, 14, 1.2764779761181
2009-03, 8, 0.400353557563125
2009-04, 1, -0.621791597417679
2009-05, 0, -0.767812333843508
2009-06, 0, -0.767812333843508
2009-07, 0, -0.767812333843508
2009-08, 0, -0.767812333843508
2009-09, 0, -0.767812333843508
2009-10, 1, -0.621791597417679
2009-11, 17, 1.71454018539559
2009-12, 14, 1.2764779761181
2010-01, 18, 1.86056092182142
2010-02, 20, 2.15260239467308
2010-03, 8, 0.400353557563125
2010-04, 1, -0.621791597417679
2010-05, 0, -0.767812333843508
2010-06, 0, -0.767812333843508
2010-07, 0, -0.767812333843508
2010-08, 0, -0.767812333843508
2010-09, 0, -0.767812333843508
2010-10, 0, -0.767812333843508
2010-11, 0, -0.767812333843508
2010-12, 12, 0.984436503266442
2011-01, 29, 3.46678902250554
2011-02, 17, 1.71454018539559
2011-03, 5, -0.0377086517143625
2011-04, 1, -0.621791597417679
2011-05, 0, -0.767812333843508
2011-06, 0, -0.767812333843508
2011-07, 0, -0.767812333843508
2011-08, 0, -0.767812333843508
2011-09, 0, -0.767812333843508
2011-10, 0, -0.767812333843508
2011-11, 3, -0.329750124566021
2011-12, 2, -0.47577086099185
2012-01, 12, 0.984436503266442
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 1, -0.621791597417679
2012-05, 0, -0.767812333843508
2012-06, 0, -0.767812333843508
2012-07, 0, -0.767812333843508
2012-08, 0, -0.767812333843508
2012-09, 0, -0.767812333843508
2012-10, 2, -0.47577086099185
2012-11, 7, 0.254332821137296
2012-12, 13, 1.13045723969227
2013-01, 10, 0.692395030414784
2013-02, 13, 1.13045723969227
2013-03, 3, -0.329750124566021
2013-04, 1, -0.621791597417679
2013-05, 0, -0.767812333843508
2013-06, 0, -0.767812333843508
2013-07, 0, -0.767812333843508
2013-08, 0, -0.767812333843508
2013-09, 1, -0.621791597417679
2013-10, 0, -0.767812333843508
2013-11, 6, 0.108312084711467
2013-12, 15, 1.42249871254393
2014-01, 25, 2.88270607680222
2014-02, 20, 2.15260239467308
2014-03, 3, -0.329750124566021
2014-04, 5, -0.0377086517143625
2014-05, 0, -0.767812333843508
2014-06, 0, -0.767812333843508
2014-07, -99.9, -99.9
2014-08, 0, -0.767812333843508
2014-09, 0, -0.767812333843508
2014-10, 3, -0.329750124566021
2014-11, 5, -0.0377086517143625
2014-12, 14, 1.2764779761181
2015-01, 22, 2.44464386752473
2015-02, 13, 1.13045723969227
2015-03, 8, 0.400353557563125
2015-04, 0, -0.767812333843508
2015-05, 1, -0.621791597417679
2015-06, 0, -0.767812333843508
2015-07, 0, -0.767812333843508
2015-08, 2, -0.47577086099185
2015-09, 0, -0.767812333843508
2015-10, 1, -0.621791597417679
2015-11, 5, -0.0377086517143625
2015-12, 11, 0.838415766840613
2016-01, 21, 2.2986231310989
2016-02, 23, 2.59066460395056
2016-03, 3, -0.329750124566021
2016-04, 13, 1.13045723969227
2016-05, 0, -0.767812333843508
2016-06, 0, -0.767812333843508
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 4, -0.183729388140192
2016-12, 12, 0.984436503266442
2017-01, 19, 2.00658165824725
2017-02, 22, 2.44464386752473
2017-03, 6, 0.108312084711467
2017-04, 4, -0.183729388140192
2017-05, 0, -0.767812333843508
2017-06, 0, -0.767812333843508
2017-07, 0, -0.767812333843508
