"Description: ","Heatwave definitions and aspects"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, -99.9, -99.9, 0, -99.9, 0
2009, 37.55, 38.4, 1, 2, 2
2010, 37.1666666666667, 37.8, 1, 3, 3
2011, 37.56875, 39.5, 4, 5, 17
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 37.6444444444444, 39, 3, 5, 11
2014, -99.9, -99.9, -99.9, -99.9, -99.9
2015, -99.9, -99.9, 0, -99.9, 0
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 35.7333333333333, 36.2, 1, 3, 3
2019, 36.8568253968254, 41.2, 3, 7, 15
2020, 36.7333333333333, 38.1, 1, 3, 3
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, -99.9, -99.9, -99.9, -99.9, -99.9
2023, -99.9, -99.9, -99.9, -99.9, -99.9
2024, -99.9, -99.9, -99.9, -99.9, -99.9
