"Description: ","Number of 2 consecutive days where both TX < 5th percentile and TN < 5th percentile"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txb2tnb2, normalised (all years)
2008, 0, -99.9
2009, 0, -99.9
2010, 0, -99.9
2011, 0, -99.9
2012, -99.9, -99.9
2013, 0, -99.9
2014, -99.9, -99.9
2015, 0, -99.9
2016, -99.9, -99.9
2017, 0, -99.9
2018, 0, -99.9
2019, 0, -99.9
2020, 0, -99.9
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
