"Description: ","Annual number of days when TX >= 30 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txge30, normalised (all years)
2008, 92, -1.0917502318684
2009, 114, 0.636199775405325
2010, 120, 1.10745886829816
2011, 126, 1.57871796119099
2012, -99.9, -99.9
2013, 100, -0.463404774677954
2014, -99.9, -99.9
2015, 101, -0.384861592529148
2016, -99.9, -99.9
2017, 103, -0.227775228231537
2018, 96, -0.777577503273176
2019, 89, -1.32737977831482
2020, 118, 0.950372504000548
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
