"Description: ","Monthly number of days when TX >= 35 degrees_C"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txge35, normalised (all years)
2008-01, 4, 0.66969769963615
2008-02, 2, 0.0692790723761534
2008-03, 0, -0.531139554883843
2008-04, 0, -0.531139554883843
2008-05, 0, -0.531139554883843
2008-06, 0, -0.531139554883843
2008-07, 0, -0.531139554883843
2008-08, 0, -0.531139554883843
2008-09, 0, -0.531139554883843
2008-10, 0, -0.531139554883843
2008-11, 1, -0.230930241253845
2008-12, 4, 0.66969769963615
2009-01, 6, 1.27011632689615
2009-02, 2, 0.0692790723761534
2009-03, 0, -0.531139554883843
2009-04, 0, -0.531139554883843
2009-05, 0, -0.531139554883843
2009-06, 0, -0.531139554883843
2009-07, 0, -0.531139554883843
2009-08, 0, -0.531139554883843
2009-09, 0, -0.531139554883843
2009-10, 2, 0.0692790723761534
2009-11, 4, 0.66969769963615
2009-12, 1, -0.230930241253845
2010-01, 3, 0.369488386006152
2010-02, 6, 1.27011632689615
2010-03, 1, -0.230930241253845
2010-04, 2, 0.0692790723761534
2010-05, 0, -0.531139554883843
2010-06, 0, -0.531139554883843
2010-07, 0, -0.531139554883843
2010-08, 0, -0.531139554883843
2010-09, 0, -0.531139554883843
2010-10, 0, -0.531139554883843
2010-11, 2, 0.0692790723761534
2010-12, 10, 2.47095358141614
2011-01, 12, 3.07137220867613
2011-02, 1, -0.230930241253845
2011-03, 6, 1.27011632689615
2011-04, 0, -0.531139554883843
2011-05, 0, -0.531139554883843
2011-06, 0, -0.531139554883843
2011-07, 0, -0.531139554883843
2011-08, 0, -0.531139554883843
2011-09, 0, -0.531139554883843
2011-10, 0, -0.531139554883843
2011-11, 3, 0.369488386006152
2011-12, 5, 0.969907013266148
2012-01, 18, 4.87262809045612
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 2, 0.0692790723761534
2012-05, 0, -0.531139554883843
2012-06, 0, -0.531139554883843
2012-07, 0, -0.531139554883843
2012-08, 0, -0.531139554883843
2012-09, 0, -0.531139554883843
2012-10, 0, -0.531139554883843
2012-11, 3, 0.369488386006152
2012-12, 7, 1.57032564052614
2013-01, 3, 0.369488386006152
2013-02, 2, 0.0692790723761534
2013-03, 0, -0.531139554883843
