"Description: ","Monthly coldest daily TX"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txn, normalised (all years)
2008-01, 23.9, 0.919842712072186
2008-02, 25.1, 1.14891186636702
2008-03, 24.5, 1.0343772892196
2008-04, 17.5, -0.301859444166904
2008-05, 11.7, -1.40902702325858
2008-06, 12.5, -1.25631425372869
2008-07, 14.1, -0.950888714668921
2008-08, 13.2, -1.12269058039004
2008-09, 9.7, -1.7908089470833
2008-10, 19.7, 0.118100672040283
2008-11, 23, 0.748040846351064
2008-12, 23.6, 0.862575423498479
2009-01, 23.8, 0.90075361588095
2009-02, 21.8, 0.518971692056235
2009-03, 25.8, 1.28253553970567
2009-04, 21.1, 0.385348018717584
2009-05, 13.7, -1.02724509943386
2009-06, 12.6, -1.23722515753746
2009-07, 9.2, -1.88625442803947
2009-08, 13.3, -1.10360148419881
2009-09, 15.7, -0.645463175609149
2009-10, 15.2, -0.740908656565328
2009-11, 22.2, 0.595328076821178
2009-12, 24.3, 0.996199096837129
2010-01, 26.6, 1.43524830923555
2010-02, 24.1, 0.958020904454658
2010-03, 22.7, 0.690773557777356
2010-04, 21, 0.366258922526348
2010-05, 16.3, -0.530928598461734
2010-06, 15.6, -0.664552271800384
2010-07, 11.3, -1.48538340802352
2010-08, 12.8, -1.19904696515499
2010-09, 15.6, -0.664552271800384
2010-10, 20.4, 0.251724345378933
2010-11, 22.9, 0.728951750159828
2010-12, 22.3, 0.614417173012414
2011-01, 28.6, 1.81703023306027
2011-02, 23.4, 0.824397231116007
2011-03, 23.4, 0.824397231116007
2011-04, 21.9, 0.53806078824747
2011-05, 17.4, -0.32094854035814
2011-06, 11.7, -1.40902702325858
2011-07, 10.3, -1.67627436993588
2011-08, 12.7, -1.21813606134622
2011-09, 18, -0.206413963210725
2011-10, 18.2, -0.168235770828254
2011-11, 24, 0.938931808263422
2011-12, 21.9, 0.53806078824747
2012-01, 27.1, 1.53069379019173
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 15.9, -0.607284983226677
2012-05, 18.8, -0.0537011936808389
2012-06, 11.5, -1.44720521564105
2012-07, 11.8, -1.38993792706734
2012-08, 13.3, -1.10360148419881
2012-09, 18.3, -0.149146674637018
2012-10, 20.5, 0.270813441570169
2012-11, 25.1, 1.14891186636702
2012-12, 20.2, 0.213546152996462
2013-01, 24.7, 1.07255548160207
2013-02, 25.1, 1.14891186636702
2013-03, 21.2, 0.40443711490882
2013-04, 20.4, 0.251724345378933
2013-05, 14, -0.969977810860157
2013-06, 14.1, -0.950888714668921
2013-07, 10.4, -1.65718527374465
2013-08, 10.4, -1.65718527374465
2013-09, 13.7, -1.02724509943386
2013-10, 20.2, 0.213546152996462
2013-11, 22.5, 0.652595365394885
2013-12, 27.4, 1.58796107876544
2014-01, 24.5, 1.0343772892196
2014-02, 21.5, 0.461704403482527
2014-03, 21.9, 0.53806078824747
2014-04, 19.3, 0.04174428727534
2014-05, 14.3, -0.912710522286449
2014-06, 14.7, -0.836354137521507
2014-07, -99.9, -99.9
2014-08, 14.1, -0.950888714668921
2014-09, 17.2, -0.359126732740612
2014-10, 20.3, 0.232635249187698
2014-11, 23.2, 0.786219038733535
2014-12, 25.3, 1.18709005874949
2015-01, 25.1, 1.14891186636702
2015-02, 26.4, 1.39707011685308
2015-03, 24.1, 0.958020904454658
2015-04, 23.3, 0.805308134924771
2015-05, 18.1, -0.187324867019489
2015-06, 12.6, -1.23722515753746
2015-07, 13.5, -1.06542329181634
2015-08, 18.2, -0.168235770828254
2015-09, 17.2, -0.359126732740612
2015-10, 16.2, -0.55001769465297
2015-11, 20.3, 0.232635249187698
2015-12, 22.3, 0.614417173012414
2016-01, 26.4, 1.39707011685308
2016-02, 25.2, 1.16800096255825
2016-03, 22, 0.557149884438706
2016-04, 14.6, -0.855443233712742
2016-05, 14.3, -0.912710522286449
2016-06, 12, -1.35175973468487
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 20, 0.17536796061399
2016-12, 24, 0.938931808263422
2017-01, 26.4, 1.39707011685308
2017-02, 25.7, 1.26344644351443
2017-03, 23.4, 0.824397231116007
2017-04, 18.8, -0.0537011936808389
2017-05, 16.3, -0.530928598461734
2017-06, 13.4, -1.08451238800757
2017-07, 11.3, -1.48538340802352
2017-08, 16.5, -0.492750406079262
2017-09, 18.4, -0.130057578445783
2017-10, 18.3, -0.149146674637018
2017-11, 21.8, 0.518971692056235
2017-12, 25.1, 1.14891186636702
2018-01, 26.1, 1.33980282827937
2018-02, 25.4, 1.20617915494072
2018-03, 21.9, 0.53806078824747
2018-04, 21.1, 0.385348018717584
2018-05, 15.7, -0.645463175609149
2018-06, 8.9, -1.94352171661318
2018-07, 11.5, -1.44720521564105
2018-08, 12.2, -1.3135815423024
2018-09, 16.2, -0.55001769465297
2018-10, 19.4, 0.0608333834665754
2018-11, 22.9, 0.728951750159828
2018-12, 22.2, 0.595328076821178
2019-01, 23.5, 0.843486327307243
2019-02, 23.9, 0.919842712072186
2019-03, 23.4, 0.824397231116007
2019-04, 21.6, 0.480793499673763
2019-05, 15.9, -0.607284983226677
2019-06, 13.5, -1.06542329181634
2019-07, 10.6, -1.61900708136217
2019-08, 12.7, -1.21813606134622
2019-09, 16, -0.588195887035441
2019-10, 19, -0.0155230012983675
2019-11, 21.3, 0.423526211100056
2019-12, 24.8, 1.09164457779331
2020-01, 27, 1.5116046940005
2020-02, 23.9, 0.919842712072186
2020-03, 26.4, 1.39707011685308
2020-04, 21.2, 0.40443711490882
2020-05, 15.7, -0.645463175609149
2020-06, 11.9, -1.37084883087611
2020-07, 10.4, -1.65718527374465
2020-08, 11.9, -1.37084883087611
2020-09, 14.6, -0.855443233712742
2020-10, 13.9, -0.989066907051393
2020-11, 24.3, 0.996199096837129
2020-12, 22.6, 0.671684461586121
2021-01, 25.2, 1.16800096255825
2021-02, 24.3, 0.996199096837129
2021-03, 23.3, 0.805308134924771
2021-04, 21, 0.366258922526348
2021-05, 15.4, -0.702730464182856
2021-06, 9.8, -1.77171985089206
2021-07, 9.8, -1.77171985089206
2021-08, 14.7, -0.836354137521507
2021-09, -99.9, -99.9
2021-10, 19.7, 0.118100672040283
2021-11, 20.6, 0.289902537761405
2021-12, 25.3, 1.18709005874949
2022-01, 28.6, 1.81703023306027
2022-02, 25.9, 1.3016246358969
2022-03, 19.5, 0.0799224796578114
2022-04, 18.6, -0.0918793860633104
2022-05, 11.8, -1.38993792706734
2022-06, 12.5, -1.25631425372869
2022-07, 10.6, -1.61900708136217
2022-08, -99.9, -99.9
2022-09, -99.9, -99.9
2022-10, -99.9, -99.9
2022-11, -99.9, -99.9
2022-12, 27.9, 1.68340655972162
2023-01, 27.6, 1.62613927114791
2023-02, 20.6, 0.289902537761405
2023-03, 25.7, 1.26344644351443
2023-04, 17, -0.397304925123083
2023-05, -99.9, -99.9
2023-06, -99.9, -99.9
2023-07, -99.9, -99.9
2023-08, 14.4, -0.893621426095214
2023-09, 12.7, -1.21813606134622
2023-10, 17.4, -0.32094854035814
2023-11, 18.7, -0.072790289872075
2023-12, 23.6, 0.862575423498479
2024-01, 22.8, 0.709862653968593
2024-02, 26.4, 1.39707011685308
2024-03, 22.8, 0.709862653968593
2024-04, 19.7, 0.118100672040283
2024-05, 11, -1.54265069659723
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
