"Description: ","Annual warmest daily TX"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txx, normalised (all years)
2008, 38.5, -0.156478890680428
2009, 38.4, -0.238836201564866
2010, 38.1, -0.485908134218173
2011, 39.3, 0.502379596395063
2012, -99.9, -99.9
2013, 39.1, 0.337664974626193
2014, -99.9, -99.9
2015, 37.3, -1.14476662129367
2016, -99.9, -99.9
2017, 38.3, -0.321193512449303
2018, 37, -1.39183855394698
2019, 41.2, 2.06716850319936
2020, 39.7, 0.831808839932814
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
