"Description: ","Monthly warmest daily TX"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txx, normalised (all years)
2008-01, 37.4, 0.941828627662983
2008-02, 35.8, 0.543252117889025
2008-03, 33.5, -0.0297016149110398
2008-04, 32.9, -0.179167806076275
2008-05, 31.4, -0.552833283989361
2008-06, 20.9, -3.16849162938096
2008-07, 27.4, -1.54927455842426
2008-08, 27.8, -1.44963043098077
2008-09, 29.7, -0.976320825624191
2008-10, 33.6, -0.00479058305016709
2008-11, 35.5, 0.468519022306408
2008-12, 38.5, 1.21584997813258
2009-01, 36.4, 0.692718309054259
2009-02, 35.4, 0.443607990445535
2009-03, 34.5, 0.219408703697684
2009-04, 33.6, -0.00479058305016709
2009-05, 31.7, -0.478100188406743
2009-06, 26.8, -1.69874074958949
2009-07, 25, -2.14713932308519
2009-08, 33.7, 0.0201204488107057
2009-09, 27.7, -1.47454146284164
2009-10, 36.7, 0.767451404636878
2009-11, 38.4, 1.19093894627171
2009-12, 36.1, 0.617985213471643
2010-01, 35.8, 0.543252117889025
2010-02, 37.8, 1.04147275510647
2010-03, 35.1, 0.368874894862919
2010-04, 36.1, 0.617985213471643
2010-05, 27.1, -1.62400765400687
2010-06, 29.2, -1.10087598492855
2010-07, 28.8, -1.20052011237204
2010-08, 33.2, -0.104434710493656
2010-09, 27.8, -1.44963043098077
2010-10, 31.4, -0.552833283989361
2010-11, 36.9, 0.817273468358621
2010-12, 38.1, 1.11620585068909
2011-01, 37.9, 1.06638378696735
2011-02, 35.9, 0.568163149749897
2011-03, 38.5, 1.21584997813258
2011-04, 32.6, -0.253900901658891
2011-05, 27.9, -1.42471939911989
2011-06, 27.6, -1.49945249470251
2011-07, 29.4, -1.05105392120681
2011-08, 33.1, -0.129345742354529
2011-09, 34.5, 0.219408703697684
2011-10, 33.3, -0.0795236786327854
2011-11, 36.7, 0.767451404636878
2011-12, 39.3, 1.41513823301956
2012-01, 39.4, 1.44004926488043
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 36.6, 0.742540372776005
2012-05, 31.4, -0.552833283989361
2012-06, 31.6, -0.503011220267615
2012-07, 31.7, -0.478100188406743
2012-08, 32.5, -0.278811933519764
2012-09, 31.6, -0.503011220267615
2012-10, 31, -0.65247741143285
2012-11, 37.4, 0.941828627662983
2012-12, 38.3, 1.16602791441083
2013-01, 38, 1.09129481882822
2013-02, 38.8, 1.2905830737152
2013-03, 34.6, 0.244319735558557
2013-04, 30.6, -0.752121538876339
2013-05, 29.8, -0.951409793763318
2013-06, 25.1, -2.12222829122432
2013-07, 29, -1.1506980486503
2013-08, 30.2, -0.851765666319829
2013-09, 35.8, 0.543252117889025
2013-10, 34, 0.0948535443933222
2013-11, 33.5, -0.0297016149110398
2013-12, 39.1, 1.36531616929781
2014-01, 38.9, 1.31549410557607
2014-02, 39, 1.34040513743694
2014-03, 35.3, 0.418696958584663
2014-04, 33.7, 0.0201204488107057
2014-05, 24.8, -2.19696138680694
2014-06, 32, -0.403367092824126
2014-07, -99.9, -99.9
2014-08, 33, -0.154256774215402
2014-09, 35.2, 0.393785926723792
2014-10, 37.1, 0.867095532080367
2014-11, 36.3, 0.667807277193387
2014-12, 36.9, 0.817273468358621
2015-01, 37.3, 0.916917595802111
2015-02, 35, 0.343963863002046
2015-03, 34.2, 0.144675608115068
2015-04, 34.8, 0.294141799280301
2015-05, 32.9, -0.179167806076275
2015-06, 33.4, -0.0546126467719126
2015-07, 33.5, -0.0297016149110398
2015-08, 34.5, 0.219408703697684
2015-09, 32.7, -0.228989869798018
2015-10, 35, 0.343963863002046
2015-11, 33.9, 0.0699425125324494
2015-12, 34.9, 0.319052831141173
2016-01, 37, 0.842184500219494
2016-02, 35.4, 0.443607990445535
2016-03, 36.1, 0.617985213471643
2016-04, 36.2, 0.642896245332516
2016-05, 23.5, -2.52080480099828
2016-06, 22.4, -2.79482615146788
2016-07, -99.9, -99.9
2016-08, -99.9, -99.9
2016-09, -99.9, -99.9
2016-10, -99.9, -99.9
2016-11, 35.4, 0.443607990445535
2016-12, 37.1, 0.867095532080367
2017-01, 34.7, 0.26923076741943
2017-02, 35.6, 0.493430054167281
2017-03, 32.9, -0.179167806076275
2017-04, 32.4, -0.303722965380637
2017-05, 34.5, 0.219408703697684
2017-06, 31.4, -0.552833283989361
2017-07, 31.2, -0.602655347711105
2017-08, 35.6, 0.493430054167281
2017-09, 35.4, 0.443607990445535
2017-10, 33, -0.154256774215402
2017-11, 36.5, 0.717629340915132
2017-12, 38.3, 1.16602791441083
2018-01, 35.3, 0.418696958584663
2018-02, 35.9, 0.568163149749897
2018-03, 36.8, 0.792362436497749
2018-04, 34.8, 0.294141799280301
2018-05, 28.4, -1.30016423981553
2018-06, 26.2, -1.84820694075473
2018-07, 29.2, -1.10087598492855
2018-08, 24.5, -2.27169448238956
2018-09, 33.5, -0.0297016149110398
2018-10, 33.4, -0.0546126467719126
2018-11, 34.9, 0.319052831141173
2018-12, 37, 0.842184500219494
2019-01, 36.4, 0.692718309054259
2019-02, 37.1, 0.867095532080367
2019-03, 36.5, 0.717629340915132
2019-04, 33.8, 0.0450314806715766
2019-05, 27.7, -1.47454146284164
2019-06, 29.1, -1.12578701678943
2019-07, 28.1, -1.37489733539815
2019-08, 32.8, -0.204078837937147
