"Description: ","Annual number of days with at least 1 consecutive days when TX > 90th percentile"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, wsdi1, normalised (all years)
2008, -99.9, -99.9
2009, -99.9, -99.9
2010, 32, -0.386044016095724
2011, 35, -0.0742392338645624
2012, -99.9, -99.9
2013, -99.9, -99.9
2014, -99.9, -99.9
2015, 33, -0.282109088685337
2016, -99.9, -99.9
2017, 33, -0.282109088685337
2018, 25, -1.11358850796844
2019, 36, 0.0296956935458248
2020, 56, 2.10839424175357
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
