"Description: ","Annual number of days contributing to events where 6 or more consecutive days experience TX > 90th percentile"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, wsdi, normalised (all years)
2008, 0, -0.438591318407687
2009, 0, -0.438591318407687
2010, 6, 0.946433897616588
2011, 0, -0.438591318407687
2012, -99.9, -99.9
2013, 0, -0.438591318407687
2014, -99.9, -99.9
2015, 0, -0.438591318407687
2016, -99.9, -99.9
2017, 0, -0.438591318407687
2018, 0, -0.438591318407687
2019, 0, -0.438591318407687
2020, 13, 2.56229664964491
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
