"Description: ","Standardised Precipitation Index"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, spi
2008-01, -99.9
2008-02, -99.9
2008-03, -99.9
2008-04, -99.9
2008-05, -99.9
2008-06, -99.9
2008-07, -99.9
2008-08, -99.9
2008-09, -99.9
2008-10, -99.9
2008-11, -99.9
2008-12, -0.887631886870277
2009-01, -1.05208121850153
2009-02, -0.954016604383358
2009-03, -0.938400029210309
2009-04, -0.932585398759301
2009-05, -0.766979865436878
2009-06, -0.94686995001439
2009-07, -0.911595206069723
2009-08, -1.06895564812137
2009-09, -0.876279725188852
2009-10, -1.29011546213732
2009-11, 0.132016178243644
2009-12, 0.810192484340246
2010-01, 0.993106194058565
2010-02, 1.4371960091206
2010-03, 1.38997377960674
2010-04, 1.29314941157582
2010-05, 1.5741043522909
2010-06, 1.58772515989335
2010-07, 1.75146453691066
2010-08, 1.62976627607682
2010-09, 1.72022142994244
2010-10, 1.63502592695278
2010-11, 0.607804240324466
2010-12, 0.0111550231673149
2011-01, -0.134736551732866
2011-02, -0.854444498781023
2011-03, -1.10484888462662
2011-04, -0.907311433631012
2011-05, -1.21940583684949
2011-06, -1.11239683232953
2011-07, -1.16797764454422
2011-08, -0.811575587157854
2011-09, -1.18083174870447
2011-10, -0.694055758976353
2011-11, -0.80185847964559
2011-12, -0.589796987219918
2012-01, -0.844045490171833
2012-02, -0.771674872695359
2012-03, -0.955927383663634
2012-04, -0.592925515834387
2012-05, -0.52236974408608
2012-06, -0.625282116048775
2012-07, -0.566895776325012
2012-08, -0.411631009134315
2012-09, -0.668577617033614
2012-10, -1.00889212032764
2012-11, -1.33849092234921
2012-12, -0.909212541632846
2013-01, -0.626243013817772
2013-02, -0.119829337169693
2013-03, 0.14794804960403
2013-04, -0.00165035451022997
2013-05, 0.25290968108038
2013-06, 0.212654970126701
2013-07, 0.449731476423069
2013-08, 0.153751588487206
2013-09, 0.192354987964376
2013-10, 0.285423602296725
2013-11, 0.689913256247125
2013-12, 0.0965417778013335
2014-01, 0.109766946577991
2014-02, 0.220173406568146
2014-03, 0.310998001998136
2014-04, 0.28560513184163
2014-05, 0.501525252672843
2014-06, 0.632183429125907
2014-07, 0.658421462359825
2014-08, 0.651520711486131
2014-09, 0.989198098437076
2014-10, 1.05040114845947
2014-11, 0.734860643963713
2014-12, 1.47295906311914
2015-01, 1.66541168190267
2015-02, 1.37554241403398
2015-03, 1.08052776073528
2015-04, 0.874448452321372
2015-05, 0.882296988708354
2015-06, 0.826693770397602
2015-07, 0.827918194957611
2015-08, 1.08671824205203
2015-09, 0.750072282784126
2015-10, 1.09255714986901
2015-11, 1.58892446570066
2015-12, 1.38670841783931
2016-01, 1.23558387260104
2016-02, 1.15940236803153
2016-03, 1.19872179130956
2016-04, 1.23997514906614
2016-05, -99.9
2016-06, -99.9
2016-07, -99.9
2016-08, -99.9
2016-09, -99.9
2016-10, -99.9
2016-11, -99.9
2016-12, -99.9
2017-01, -99.9
2017-02, -99.9
2017-03, -99.9
2017-04, -99.9
2017-05, -99.9
2017-06, 0.564167403009773
2017-07, 0.794718111123112
2017-08, 0.89197765370807
2017-09, 1.02531498215402
2017-10, 0.666927811934402
2017-11, 0.684573341878079
2017-12, 0.624346848171115
2018-01, 0.726566552163274
2018-02, 0.432547401350537
2018-03, 0.501136439655525
2018-04, -0.105942786366302
2018-05, -0.211128519653281
2018-06, -0.328295919459914
2018-07, -0.206519777900743
2018-08, -0.41053938307431
2018-09, -0.340126504048138
2018-10, -0.393480793578496
2018-11, -0.787656994666254
2018-12, -0.973890933654015
2019-01, 0.65804733894249
2019-02, 0.700559769922317
2019-03, 0.468593345958045
2019-04, 0.688124030185875
2019-05, 0.65806599626568
2019-06, 0.567688293808813
2019-07, 0.637600491830499
2019-08, 0.560930387614038
2019-09, 0.227655730734435
2019-10, 0.608737001841749
2019-11, 1.08419246893363
2019-12, 1.17381705533598
2020-01, -0.138259292978408
2020-02, 0.0108782637767758
2020-03, -0.0720493580081088
2020-04, -0.405995752641306
2020-05, 0.234436326592884
2020-06, 0.448261550914111
2020-07, 0.324167560585865
2020-08, 0.289801863662203
2020-09, 0.432451659983266
2020-10, -0.0660157651036897
2020-11, -99.9
2020-12, -99.9
2021-01, -99.9
2021-02, -99.9
2021-03, -99.9
2021-04, -99.9
2021-05, -99.9
2021-06, -99.9
2021-07, -99.9
2021-08, -99.9
2021-09, -99.9
2021-10, -99.9
2021-11, -0.297555716488663
2021-12, -0.502872014880573
2022-01, -1.01157454376215
2022-02, -1.08003478675399
2022-03, -1.10484888462662
2022-04, -0.679598626791155
2022-05, -0.966297704029913
2022-06, -1.33520568596848
2022-07, -0.881487186780902
2022-08, -0.601965994712349
2022-09, -1.00068987706381
2022-10, -0.910935653244878
2022-11, -1.32398499097804
2022-12, -1.33312916582356
2023-01, -1.42447800396742
2023-02, -1.50838664990116
2023-03, -1.50594051432652
2023-04, -1.82493305441291
2023-05, -1.37881484973984
2023-06, -1.43696483580028
2023-07, -1.52623745623915
2023-08, -1.74252103556769
2023-09, -1.03157170766422
2023-10, -0.710591914061911
2023-11, -0.794106965290547
2023-12, -0.149838465095088
