"Description: ","TN > 0"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, TNgt0, normalised (all years)
2008, 357, -2.66332809085663
2009, 362, -0.35511041211422
2010, 364, 0.568176659382746
2011, 362, -0.35511041211422
2012, -99.9, -99.9
2013, 363, 0.106533123634263
2014, 365, 1.02982019513123
2015, 365, 1.02982019513123
2016, -99.9, -99.9
2017, 363, 0.106533123634263
2018, 362, -0.35511041211422
2019, 363, 0.106533123634263
2020, -99.9, -99.9
2021, 361, -0.816753947862702
2022, 364, 0.568176659382746
2023, 365, 1.02982019513123
2024, -99.9, -99.9
