"Description: ","Maximum annual number of consecutive dry days (when precipitation < 1.0 mm)"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, cdd, normalised (all years)
2008, -99.9, -99.9
2009, 19, -0.659499834481689
2010, 27, 0.872241716572557
2011, 19, -0.659499834481689
2012, -99.9, -99.9
2013, 21, -0.276564446718128
2014, 15, -1.42537061000881
2015, 32, 1.82958018598146
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, 19, -0.659499834481689
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 25, 0.489306328808996
2023, 25, 0.489306328808996
2024, -99.9, -99.9
