"Description: ","Annual number of days with at least 1 consecutive days when TN < 10th percentile"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, csdi1, normalised (all years)
2008, -99.9, -99.9
2009, 39, 0.596315013209924
2010, 44, 1.10536441473059
2011, 31, -0.218164029223143
2012, -99.9, -99.9
2013, -99.9, -99.9
2014, 25, -0.829023311047943
2015, 22, -1.13445295196034
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, -99.9, -99.9
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 46, 1.30898417533886
2023, 25, -0.829023311047943
2024, -99.9, -99.9
