"Description: ","Annual number of days contributing to events where 6 or more consecutive days experience TN < 10th percentile"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, csdi, normalised (all years)
2008, 0, -0.409673245199351
2009, 0, -0.409673245199351
2010, 0, -0.409673245199351
2011, 6, 2.25320284859643
2012, -99.9, -99.9
2013, 0, -0.409673245199351
2014, 0, -0.409673245199351
2015, 0, -0.409673245199351
2016, -99.9, -99.9
2017, 0, -0.409673245199351
2018, 6, 2.25320284859643
2019, 0, -0.409673245199351
2020, -99.9, -99.9
2021, 0, -0.409673245199351
2022, 0, -0.409673245199351
2023, 0, -0.409673245199351
2024, -99.9, -99.9
