"Description: ","Heatwave definitions and aspects"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, CWM, CWA, CWN, CWD, CWF
2008, -10.127634056713, -34.3325763888889, 4, 4, 14
2009, -7.26076220987655, -36.4379652777778, 5, 9, 28
2010, -19.3081652199074, -54.2068111111111, 2, 12, 17
2011, -11.0359531552707, -38.2859986111111, 3, 13, 22
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, -14.9242079475309, -32.1224708333333, 3, 7, 17
2014, -99.9, -99.9, 0, -99.9, 0
2015, -5.52192546296298, -10.9692972222222, 1, 3, 3
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -17.3814940972222, -37.798625, 1, 4, 4
2018, -8.30630234375, -27.2633833333333, 4, 6, 17
2019, -22.2115966269841, -46.379475, 1, 7, 7
2020, -99.9, -99.9, -99.9, -99.9, -99.9
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, -10.0311822222222, -19.0380263888889, 1, 5, 5
2023, -13.2260519675926, -27.2269097222222, 2, 6, 9
2024, -99.9, -99.9, -99.9, -99.9, -99.9
