"Description: ","Heatwave definitions and aspects"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, 5.37019814814815, 13.8740555555556, 2, 6, 9
2009, 27.2191, 39.4633722222221, 1, 4, 4
2010, -99.9, -99.9, 0, -99.9, 0
2011, 4.9004487962963, 15.7402222222222, 2, 6, 11
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 2.53792596560847, 7.39375, 3, 7, 16
2014, -99.9, -99.9, 0, -99.9, 0
2015, -99.9, -99.9, 0, -99.9, 0
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 6.53315277777778, 12.1025, 1, 4, 4
2019, 5.30560277777779, 12.7597166666667, 1, 4, 4
2020, -99.9, -99.9, -99.9, -99.9, -99.9
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, 4.2416099537037, 19.7702916666666, 6, 6, 29
2023, 3.30961611111111, 8.68919444444443, 2, 5, 10
2024, -99.9, -99.9, -99.9, -99.9, -99.9
