"Description: ","Annual number of days when TN < 0 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, fd, normalised (all years)
2008, 0, -0.889499179993322
2009, 3, 2.00137315498497
2010, 1, 0.0741249316661101
2011, 3, 2.00137315498497
2012, -99.9, -99.9
2013, 1, 0.0741249316661101
2014, 0, -0.889499179993322
2015, 0, -0.889499179993322
2016, -99.9, -99.9
2017, 1, 0.0741249316661101
2018, 1, 0.0741249316661101
2019, 1, 0.0741249316661101
2020, -99.9, -99.9
2021, 0, -0.889499179993322
2022, 1, 0.0741249316661101
2023, 0, -0.889499179993322
2024, -99.9, -99.9
